Team,Position,Player
Boston University,Goal,Paul Kelley
Boston University,Right Defense,Richard Lee
Boston University,Left Defense,Robert Russo
Boston University,Center,Richard Rodenhiser
Boston University,Right Wing,Mario Zanetti
Northeastern,Goal,Raymond Picard
Northeastern,Right Defense,John Purcell
Northeastern,Left Defense,Leonard McNamara
Northeastern,Center,James Campion
Northeastern,Right Wing,Robert Lally
Boston College,Goal,Joseph Carroll
Boston College,Right Defense,Frank O'Grady
Boston College,Left Defense,Norbert Timmons
Boston College,Center,Wellington Burtnett
Boston College,Right Wing,John Canniff
Harvard,Goal,Edwin Richardson
Harvard,Right Defense,Carl Hathaway
Harvard,Left Defense,Thomas 'Jeff' Coolidge
Harvard,Center,Edward Almy
Harvard,Right Wing,Walter Greeley
