Primary_team_goal,Total_Goals,within_1s,within_1s_pct,within_2s,within_2s_pct,within_3s,within_3s_pct,within_4s,within_4s_pct,within_5s,within_5s_pct,within_6s,within_6s_pct,within_7s,within_7s_pct,within_8s,within_8s_pct,within_9s,within_9s_pct,within_10s,within_10s_pct
Air Force,55,0,0.0,0,0.0,0,0.0,2,0.03636363636363636,2,0.03636363636363636,2,0.03636363636363636,4,0.07272727272727272,5,0.09090909090909091,6,0.10909090909090909,8,0.14545454545454545
Alaska,54,0,0.0,1,0.018518518518518517,1,0.018518518518518517,3,0.05555555555555555,4,0.07407407407407407,6,0.1111111111111111,6,0.1111111111111111,6,0.1111111111111111,8,0.14814814814814814,9,0.16666666666666666
Alaska Anchorage,55,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.01818181818181818,1,0.01818181818181818,2,0.03636363636363636,2,0.03636363636363636,2,0.03636363636363636
American Intl,57,0,0.0,0,0.0,0,0.0,0,0.0,1,0.017543859649122806,1,0.017543859649122806,1,0.017543859649122806,2,0.03508771929824561,2,0.03508771929824561,4,0.07017543859649122
Arizona State,90,0,0.0,0,0.0,0,0.0,0,0.0,1,0.011111111111111112,1,0.011111111111111112,1,0.011111111111111112,1,0.011111111111111112,1,0.011111111111111112,2,0.022222222222222223
Army,73,0,0.0,0,0.0,0,0.0,2,0.0273972602739726,2,0.0273972602739726,4,0.0547945205479452,4,0.0547945205479452,5,0.0684931506849315,7,0.0958904109589041,9,0.1232876712328767
Assumption,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Augustana,72,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.027777777777777776,2,0.027777777777777776,2,0.027777777777777776
Bemidji State,62,0,0.0,1,0.016129032258064516,2,0.03225806451612903,2,0.03225806451612903,2,0.03225806451612903,4,0.06451612903225806,4,0.06451612903225806,5,0.08064516129032258,6,0.0967741935483871,6,0.0967741935483871
Bentley,68,0,0.0,1,0.014705882352941176,1,0.014705882352941176,1,0.014705882352941176,1,0.014705882352941176,1,0.014705882352941176,1,0.014705882352941176,2,0.029411764705882353,5,0.07352941176470588,7,0.10294117647058823
Boston College,80,0,0.0,1,0.0125,1,0.0125,1,0.0125,1,0.0125,2,0.025,3,0.0375,3,0.0375,4,0.05,4,0.05
Boston University,86,0,0.0,1,0.011627906976744186,2,0.023255813953488372,3,0.03488372093023256,5,0.05813953488372093,5,0.05813953488372093,6,0.06976744186046512,7,0.08139534883720931,9,0.10465116279069768,9,0.10465116279069768
Bowling Green,63,0,0.0,1,0.015873015873015872,1,0.015873015873015872,2,0.031746031746031744,2,0.031746031746031744,2,0.031746031746031744,3,0.047619047619047616,3,0.047619047619047616,3,0.047619047619047616,5,0.07936507936507936
Brown,48,0,0.0,0,0.0,0,0.0,0,0.0,1,0.020833333333333332,1,0.020833333333333332,2,0.041666666666666664,3,0.0625,3,0.0625,4,0.08333333333333333
Canisius,70,0,0.0,0,0.0,0,0.0,2,0.02857142857142857,2,0.02857142857142857,2,0.02857142857142857,3,0.04285714285714286,3,0.04285714285714286,6,0.08571428571428572,7,0.1
Clarkson,73,0,0.0,0,0.0,0,0.0,1,0.0136986301369863,5,0.0684931506849315,5,0.0684931506849315,5,0.0684931506849315,6,0.0821917808219178,9,0.1232876712328767,11,0.1506849315068493
Colgate,80,0,0.0,1,0.0125,1,0.0125,3,0.0375,6,0.075,7,0.0875,7,0.0875,7,0.0875,7,0.0875,7,0.0875
Colorado College,64,0,0.0,1,0.015625,1,0.015625,1,0.015625,2,0.03125,2,0.03125,2,0.03125,3,0.046875,4,0.0625,5,0.078125
Connecticut,69,0,0.0,0,0.0,0,0.0,2,0.028985507246376812,2,0.028985507246376812,3,0.043478260869565216,3,0.043478260869565216,5,0.07246376811594203,7,0.10144927536231885,9,0.13043478260869565
Cornell,54,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.037037037037037035,3,0.05555555555555555,5,0.09259259259259259,6,0.1111111111111111,8,0.14814814814814814
Dartmouth,67,0,0.0,0,0.0,0,0.0,2,0.029850746268656716,4,0.05970149253731343,4,0.05970149253731343,5,0.07462686567164178,5,0.07462686567164178,5,0.07462686567164178,5,0.07462686567164178
Denver,98,0,0.0,0,0.0,0,0.0,1,0.01020408163265306,3,0.030612244897959183,4,0.04081632653061224,5,0.05102040816326531,7,0.07142857142857142,8,0.08163265306122448,8,0.08163265306122448
Ferris State,63,0,0.0,0,0.0,1,0.015873015873015872,2,0.031746031746031744,2,0.031746031746031744,2,0.031746031746031744,3,0.047619047619047616,5,0.07936507936507936,5,0.07936507936507936,5,0.07936507936507936
