City,State_Province,Country,Player_Count,Latitude,Longitude
Abbotsford,British Columbia,Canada,1,49.0504377,-122.3044697
Aberdeen,Scotland,Scotland,1,57.1498891,-2.0937528
Abington,Massachusetts,USA,1,42.1048228,-70.9453218
Airdrie,Alberta,Canada,1,51.29269679999999,-114.0134113
Albert Lea,Minnesota,USA,1,43.6478006,-93.3686555
Alexandria,Minnesota,USA,1,45.8848164,-95.3776663
Algonquin,Illinois,USA,1,42.1655801,-88.29424929999999
Alpharetta,Georgia,USA,2,34.0746204,-84.29228619999999
Ames,Iowa,USA,1,42.0307812,-93.63191309999999
Amherst,Massachusetts,USA,1,42.3732216,-72.5198537
Anchorage,Alaska,USA,1,61.2175758,-149.8996785
Andover,Massachusetts,USA,1,42.6627301,-71.1446897
Anmore,British Columbia,Canada,1,49.3145411,-122.8556688
Apple Valley,Minnesota,USA,1,44.7319094,-93.21772000000001
Arlington,Massachusetts,USA,1,42.4153925,-71.1564729
Atlanta,Georgia,USA,1,33.7501275,-84.3885209
Avon,Connecticut,USA,1,41.8096201,-72.8305154
Basking Ridge,New Jersey,USA,1,40.7066174,-74.5493284
Bayville,New York,USA,1,40.9106541,-73.56206890000001
Bedford,New York,USA,1,41.204262,-73.6437397
Bellows Falls,Vermont,USA,1,43.133411,-72.44397719999999
Berwyn,Pennsylvania,USA,1,40.045824,-75.4395931
Blackwood,New Jersey,USA,1,39.8023363,-75.0640602
Blaine,Minnesota,USA,2,45.1607987,-93.23494889999999
Bloomfield,Michigan,USA,1,42.5813327,-83.28117689999999
Boca Raton,Florida,USA,1,26.3683064,-80.1289321
Boston,Massachusetts,USA,1,42.3555076,-71.0565364
Bow,New Hampshire,USA,1,43.1320263,-71.54923769999999
Braeside,Ontario,Canada,1,45.4658182,-76.4069648
Brainerd,Minnesota,USA,1,46.3526733,-94.2020084
Brampton,Ontario,Canada,1,43.7315479,-79.7624177
Bratislava,Slovakia,Slovakia,1,48.1485965,17.1077477
Bridgewater,Massachusetts,USA,1,41.99024199999999,-70.9754708
Bridgewater,New Jersey,USA,1,40.5929855,-74.6263783
Brighton,Michigan,USA,1,42.5294773,-83.7802214
Brockville,Ontario,Canada,1,44.5895244,-75.68428580000001
Brookline,Massachusetts,USA,1,42.33176419999999,-71.1211635
Brooklyn,New York,USA,1,40.6781784,-73.9441579
Buffalo,New York,USA,2,42.88690039999999,-78.8788896
Buffalo Grove,Illinois,USA,1,42.1662831,-87.9631308
Burlington,Ontario,Canada,1,43.3255196,-79.7990319
Burnaby,British Columbia,Canada,1,49.2488091,-122.9805104
Burnsville,Minnesota,USA,3,44.7677424,-93.27772259999999
Byron,Minnesota,USA,1,44.0327417,-92.6454624
Calabasas,California,USA,1,34.1539731,-118.6473801
Calgary,Alberta,Canada,8,51.04473309999999,-114.0718831
Canmore,Alberta,Canada,1,51.08836660000001,-115.3479101
Canonsburg,Pennsylvania,USA,1,40.2625702,-80.18727969999999
Canton,Michigan,USA,1,42.307458,-83.4871494
Castle Pines,Colorado,USA,1,39.4716139,-104.8947682
Centerville,Massachusetts,USA,1,41.6570445,-70.3500545
Centre Hastings,Ontario,Canada,1,44.5052621,-77.47266859999999
Chanhassen,Minnesota,USA,1,44.86196450000001,-93.53231029999999
Chaska,Minnesota,USA,5,44.7893446,-93.60183889999999
Cheektowaga,New York,USA,1,42.9071477,-78.7542892
Chesterfield,Missouri,USA,1,38.6631083,-90.5770675
Chicago,Illinois,USA,5,41.8781136,-87.6297982
Clarence Center,New York,USA,1,43.0106139,-78.6375283
Clarkston,Michigan,USA,1,42.7351196,-83.4192941
Cochrane,Alberta,Canada,2,51.1917439,-114.4667528
Cole Harbour,Nova Scotia,Canada,1,44.6726512,-63.47825030000001
Collegeville,Pennsylvania,USA,2,40.1856597,-75.451571
Columbus,Ohio,USA,2,39.9625112,-83.0032218
Copiague Harbor,New York,USA,1,40.6622222,-73.3863889
Coquitlam,British Columbia,Canada,1,49.2837626,-122.7932065
Dallas,Texas,USA,1,32.7766642,-96.79698789999999
Dearborn,Michigan,USA,1,42.3222599,-83.17631449999999
Decker,Manitoba,Canada,1,50.269913,-100.782076
Dedham,Massachusetts,USA,2,42.2436085,-71.1676536
Deerfield,Massachusetts,USA,1,42.5445588,-72.6056435
Delta,British Columbia,Canada,1,49.09521549999999,-123.0264759
Denver,Colorado,USA,1,39.7392358,-104.990251
Detroit,Michigan,USA,3,42.32971819999999,-83.0424533
Duluth,Georgia,USA,1,34.0028786,-84.1446376
Duncan,British Columbia,Canada,2,48.7786908,-123.7079416
Eagle River,Alaska,USA,1,61.3293186,-149.5680499
East Amherst,New York,USA,1,43.0183126,-78.69698310000001
East Greenbush,New York,USA,1,42.5909135,-73.7017858
East Greenwich,Rhode Island,USA,2,41.6342619,-71.51304449999999
Easthampton Township,New Jersey,USA,1,39.93102349999999,-74.7425375
Eau Claire,Wisconsin,USA,1,44.811349,-91.4984941
Eden Prairie,Minnesota,USA,2,44.8546856,-93.47078599999999
Edina,Minnesota,USA,2,44.8896866,-93.3499489
Edmonton,Alberta,Canada,4,53.5460983,-113.4937266
El Cerrito,California,USA,1,37.9161326,-122.310765
Elk River,Minnesota,USA,1,45.303218,-93.5547381
Elmhurst,Illinois,USA,1,41.903451,-87.9397972
Espoo,Finland,Finland,1,60.2054911,24.6559001
Everett,Washington,USA,1,47.9782457,-122.207417
Evergreen,Colorado,USA,1,39.6333213,-105.3172146
Excelsior,Minnesota,USA,1,44.9032963,-93.5663455
Fairfield,Connecticut,USA,1,41.1408363,-73.2612615
Fairview,Texas,USA,1,33.1578952,-96.6316593
Fallston,Maryland,USA,1,39.5145515,-76.41107319999999
Fort Collins,Colorado,USA,1,40.5852602,-105.084423
Fort Gratiot,Michigan,USA,1,43.0389333,-82.476505
Fort Worth,Texas,USA,1,32.7554883,-97.3307658
Garden Grove,California,USA,1,33.7742692,-117.9379952
Germantown,Wisconsin,USA,1,43.2286174,-88.1103691
Gibsonia,Pennsylvania,USA,1,40.6300567,-79.9703318
Glen Mills,Pennsylvania,USA,1,39.9016273,-75.5103484
Glencoe,Illinois,USA,1,42.1350268,-87.75811879999999
Glenview,Illinois,USA,1,42.0778065,-87.8223368
Grand Bay-Westfield,New Brunswick,Canada,1,45.3618365,-66.24165409999999
Grand Forks,North Dakota,USA,2,47.9252568,-97.0328547
Grand Rapids,Michigan,USA,1,42.9704146,-85.6721946
Granite Springs,New York,USA,2,41.3103717,-73.75735499999999
Greely,Ontario,Canada,1,45.2593249,-75.56872609999999
Greenwich,Connecticut,USA,1,41.0262417,-73.6281964
Grosse Ile,Michigan,USA,1,42.1303431,-83.1488389
Halifax,Nova Scotia,Canada,1,44.6508608,-63.5923256
Hamburg,New York,USA,1,42.7158927,-78.8294768
Hampstead,New Hampshire,USA,1,42.8745305,-71.1810759
Hauppauge,New York,USA,2,40.8256536,-73.2026138
Helsinki,Finland,Finland,3,60.16985569999999,24.938379
Hingham,Massachusetts,USA,1,42.2418426,-70.8897712
Hinsdale,Illinois,USA,1,41.8008642,-87.9370052
Holland,Michigan,USA,1,42.7893867,-86.1089511
Hudson,Wisconsin,USA,2,44.9746896,-92.7568703
Humenne,Slovakia,Slovakia,1,48.932454,21.9078917
Inver Grove Heights,Minnesota,USA,1,44.8480218,-93.04271530000001
Irvine,California,USA,1,33.6845673,-117.8265049
Itasca,Illinois,USA,1,41.9750287,-88.0072909
Jacksonville,Florida,USA,1,30.3297566,-81.6591529
Jelgava,Latvia,Latvia,1,56.6511478,23.7196411
Jenison,Michigan,USA,1,42.907248,-85.79197839999999
Johnstown,Pennsylvania,USA,1,40.32674069999999,-78.9219698
Kaarina,Finland,Finland,1,60.4095081,22.3844244
Kalmar,Sweden,Sweden,1,56.6634447,16.356779
Kazan,Russia,Russia,1,55.7878944,49.12332929999999
Kentville,Nova Scotia,Canada,1,45.0771182,-64.49428259999999
Kharkov,Ukraine,Ukraine,1,50.00201269999999,36.3073994
King City,Ontario,Canada,1,43.9286902,-79.5281431
Kirkland,Quebec,Canada,1,45.4560415,-73.8623337
Kitchener,Ontario,Canada,1,43.4516395,-80.4925337
Kosice,Slovakia,Slovakia,1,48.7163857,21.2610746
