Team,Allowed_within_1s,Allowed_within_2s,Allowed_within_3s,Allowed_within_4s,Allowed_within_5s,Allowed_within_6s,Allowed_within_7s,Allowed_within_8s,Allowed_within_9s,Allowed_within_10s,Total_Goals_Allowed,Allowed_within_1s_pct,Allowed_within_2s_pct,Allowed_within_3s_pct,Allowed_within_4s_pct,Allowed_within_5s_pct,Allowed_within_6s_pct,Allowed_within_7s_pct,Allowed_within_8s_pct,Allowed_within_9s_pct,Allowed_within_10s_pct,Total_Goals,Scored_within_1s,Scored_within_1s_pct,Scored_within_2s,Scored_within_2s_pct,Scored_within_3s,Scored_within_3s_pct,Scored_within_4s,Scored_within_4s_pct,Scored_within_5s,Scored_within_5s_pct,Scored_within_6s,Scored_within_6s_pct,Scored_within_7s,Scored_within_7s_pct,Scored_within_8s,Scored_within_8s_pct,Scored_within_9s,Scored_within_9s_pct,Scored_within_10s,Scored_within_10s_pct
Air Force,0,2,2,2,2,2,3,3,5,9,76,0.0,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.039473684210526314,0.039473684210526314,0.06578947368421052,0.11842105263157894,55.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.03636363636363636,2.0,0.03636363636363636,2.0,0.03636363636363636,4.0,0.07272727272727272,5.0,0.09090909090909091,6.0,0.10909090909090909,8.0,0.14545454545454545
Alaska,0,0,0,1,2,2,2,2,2,3,62,0.0,0.0,0.0,0.016129032258064516,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.04838709677419355,54.0,0.0,0.0,1.0,0.018518518518518517,1.0,0.018518518518518517,3.0,0.05555555555555555,4.0,0.07407407407407407,6.0,0.1111111111111111,6.0,0.1111111111111111,6.0,0.1111111111111111,8.0,0.14814814814814814,9.0,0.16666666666666666
Alaska Anchorage,1,1,3,3,4,4,4,6,8,9,85,0.011764705882352941,0.011764705882352941,0.03529411764705882,0.03529411764705882,0.047058823529411764,0.047058823529411764,0.047058823529411764,0.07058823529411765,0.09411764705882353,0.10588235294117647,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01818181818181818,1.0,0.01818181818181818,2.0,0.03636363636363636,2.0,0.03636363636363636,2.0,0.03636363636363636
American Intl,0,1,3,4,7,7,7,8,9,10,79,0.0,0.012658227848101266,0.0379746835443038,0.05063291139240506,0.08860759493670886,0.08860759493670886,0.08860759493670886,0.10126582278481013,0.11392405063291139,0.12658227848101267,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.017543859649122806,1.0,0.017543859649122806,1.0,0.017543859649122806,2.0,0.03508771929824561,2.0,0.03508771929824561,4.0,0.07017543859649122
Arizona State,0,0,0,1,1,1,2,3,3,3,56,0.0,0.0,0.0,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.03571428571428571,0.05357142857142857,0.05357142857142857,0.05357142857142857,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.011111111111111112,1.0,0.011111111111111112,1.0,0.011111111111111112,1.0,0.011111111111111112,1.0,0.011111111111111112,2.0,0.022222222222222223
Army,0,0,0,1,1,2,2,2,4,5,76,0.0,0.0,0.0,0.013157894736842105,0.013157894736842105,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.05263157894736842,0.06578947368421052,73.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0273972602739726,2.0,0.0273972602739726,4.0,0.0547945205479452,4.0,0.0547945205479452,5.0,0.0684931506849315,7.0,0.0958904109589041,9.0,0.1232876712328767
Assumption,0,0,0,0,0,0,1,1,1,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Augustana,0,1,2,3,3,3,3,3,3,3,42,0.0,0.023809523809523808,0.047619047619047616,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.027777777777777776,2.0,0.027777777777777776,2.0,0.027777777777777776
Bemidji State,0,0,0,3,3,3,4,7,8,9,73,0.0,0.0,0.0,0.0410958904109589,0.0410958904109589,0.0410958904109589,0.0547945205479452,0.0958904109589041,0.1095890410958904,0.1232876712328767,62.0,0.0,0.0,1.0,0.016129032258064516,2.0,0.03225806451612903,2.0,0.03225806451612903,2.0,0.03225806451612903,4.0,0.06451612903225806,4.0,0.06451612903225806,5.0,0.08064516129032258,6.0,0.0967741935483871,6.0,0.0967741935483871
Bentley,0,0,0,0,1,1,1,1,2,2,59,0.0,0.0,0.0,0.0,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.03389830508474576,0.03389830508474576,68.0,0.0,0.0,1.0,0.014705882352941176,1.0,0.014705882352941176,1.0,0.014705882352941176,1.0,0.014705882352941176,1.0,0.014705882352941176,1.0,0.014705882352941176,2.0,0.029411764705882353,5.0,0.07352941176470588,7.0,0.10294117647058823
