Team,Reg_Distance,Reg_Trips,Reg_AVG,N_Distance,Neutral_Site_Trips,N_AVG,Total_Distance,Overall_AVG,Closest_Team,Closest_Distance,Total_Closest_Matches,Longest_Trip_Opponent,Distance_Longest_Trip,Game_Type_Longest_Trip
Harvard,2495.79,17,146.81,2994.25,1,2994.25,5490.04,305.0,Boston University,1.08,1,Notre Dame,3606.35,Neutral
Boston University,2092.73,13,160.98,2994.6,1,2994.6,5087.34,363.38,Harvard,1.08,1,Merrimack,2994.6,Neutral
Northeastern,2610.85,16,163.18,111.69,1,111.69,2722.55,160.15,Boston University,1.76,2,Denver,1768.31,Regular
Brown,1675.8,13,128.91,0.0,0,0.0,1675.8,128.91,Providence,2.04,1,Clarkson,267.07,Regular
Providence,2121.17,15,141.41,1666.88,3,555.63,3788.05,210.45,Brown,2.04,1,North Dakota,1319.53,Regular
Boston College,1212.77,13,93.29,0.0,0,0.0,1212.77,93.29,Boston University,2.86,2,Michigan State,679.87,Regular
Bentley,3584.03,12,298.67,0.0,0,0.0,3584.03,298.67,Boston College,4.32,0,Air Force,1771.36,Regular
Yale,1185.82,11,107.8,33.72,1,33.72,1219.53,101.63,Quinnipiac,6.74,2,Clarkson,253.88,Regular
Quinnipiac,1945.51,16,121.59,100.03,2,50.02,2045.54,113.64,Yale,6.74,2,Maine,322.28,Regular
Minnesota,3993.51,11,363.05,1302.78,1,1302.78,5296.29,441.36,St Thomas,9.02,0,Penn State,830.01,Regular
Clarkson,3086.54,16,192.91,56.7,1,56.7,3143.25,184.9,St Lawrence,9.4,0,Michigan Tech,673.8,Regular
Merrimack,1957.99,14,139.86,2980.96,1,2980.96,4938.95,329.26,Mass Lowell,9.75,0,Boston University,2994.6,Neutral
Air Force,9555.35,9,1061.71,600.52,1,600.52,10155.87,1015.59,Colorado College,12.0,2,Bentley,1771.36,Regular
Colorado College,4704.0,10,470.4,0.0,0,0.0,4704.0,470.4,Air Force,12.0,2,Providence,1763.54,Regular
Rensselaer,2366.43,15,157.76,0.0,0,0.0,2366.43,157.76,Union,14.27,3,Miami,617.89,Regular
Union,1732.55,14,123.75,0.0,0,0.0,1732.55,123.75,Rensselaer,14.27,3,Niagara,259.88,Regular
Niagara,2802.48,12,233.54,0.0,0,0.0,2802.48,233.54,Canisius,17.18,3,Air Force,1373.66,Regular
Canisius,2857.57,11,259.78,0.0,0,0.0,2857.57,259.78,Niagara,17.18,3,Air Force,1382.04,Regular
Sacred Heart,1517.62,10,151.76,48.39,1,48.39,1566.01,142.36,Yale,18.43,1,Mercyhurst,357.16,Regular
Massachusetts,1105.11,16,69.07,4522.41,2,2261.21,5627.52,312.64,American Intl,18.77,0,Cornell,2217.89,Neutral
Stonehill,2453.28,10,245.33,0.0,0,0.0,2453.28,245.33,Brown,23.89,1,Lindenwood,1050.65,Regular
Connecticut,4322.37,13,332.49,826.17,2,413.08,5148.53,343.24,American Intl,26.79,0,Alaska,3252.61,Regular
Holy Cross,4142.14,11,376.56,4939.28,2,2469.64,9081.42,698.57,Bentley,31.73,3,Omaha,2469.64,Neutral
New Hampshire,1431.25,15,95.42,0.0,0,0.0,1431.25,95.42,Merrimack,34.01,2,Princeton,272.53,Regular
Long Island,3784.03,9,420.45,0.0,0,0.0,3784.03,420.45,Sacred Heart,37.83,0,Augustana,1201.7,Regular
Army,3142.22,12,261.85,235.88,1,235.88,3378.11,259.85,Sacred Heart,38.82,3,Air Force,1635.22,Regular
Denver,7047.93,10,704.79,0.0,0,0.0,7047.93,704.79,Air Force,46.3,0,Maine,1877.85,Regular
Michigan,4068.9,11,369.9,237.86,2,118.93,4306.77,331.29,Michigan State,49.68,4,Arizona State,1646.64,Regular
Michigan State,2594.78,11,235.89,310.96,3,103.65,2905.74,207.55,Michigan,49.68,4,Minnesota,463.1,Regular
Western Michigan,4941.03,10,494.1,46.9,1,46.9,4987.93,453.45,Notre Dame,51.8,0,Arizona State,1553.69,Regular
Notre Dame,2543.03,9,282.56,3681.97,2,1840.98,6225.0,565.91,Western Michigan,51.8,0,Harvard,3606.35,Neutral
Colgate,1976.33,15,131.76,0.0,0,0.0,1976.33,131.76,Cornell,54.04,2,Harvard,227.51,Regular
Cornell,2226.29,13,171.25,2191.0,2,1095.5,4417.3,294.49,Colgate,54.04,2,Massachusetts,2217.89,Neutral
RIT,3362.64,11,305.69,0.0,0,0.0,3362.64,305.69,Canisius,60.86,3,Air Force,1442.25,Regular
Bowling Green,2939.15,10,293.91,0.0,0,0.0,2939.15,293.91,Michigan,61.65,0,Bemidji State,695.33,Regular
Princeton,1998.79,12,166.57,0.0,0,0.0,1998.79,166.57,Long Island,62.8,0,Clarkson,298.77,Regular
Minnesota State,2382.06,8,297.76,0.0,0,0.0,2382.06,297.76,St Thomas,64.5,0,Michigan,534.09,Regular
Northern Michigan,3152.56,9,350.28,262.67,1,262.67,3415.23,341.52,Michigan Tech,66.07,4,Colorado College,1030.8,Regular
Michigan Tech,2340.47,12,195.04,319.19,1,319.19,2659.67,204.59,Northern Michigan,66.07,4,Augustana,469.62,Regular
Dartmouth,1604.22,12,133.68,0.0,0,0.0,1604.22,133.68,Vermont,69.63,1,Princeton,262.08,Regular
Vermont,1385.68,10,138.57,0.0,0,0.0,1385.68,138.57,Dartmouth,69.63,1,Maine,224.63,Regular
Ferris State,1707.68,10,170.77,201.01,2,100.5,1908.69,159.06,Michigan State,82.95,0,Bemidji State,523.51,Regular
Mercyhurst,3685.69,11,335.06,0.0,0,0.0,3685.69,335.06,Canisius,83.45,3,Air Force,1319.12,Regular
Ohio State,2813.54,9,312.62,277.07,1,277.07,3090.61,309.06,Miami,97.34,0,Minnesota,623.63,Regular
Miami,3499.69,8,437.46,0.0,0,0.0,3499.69,437.46,Ohio State,97.34,0,Denver,1077.23,Regular
Bemidji State,2831.68,11,257.43,0.0,0,0.0,2831.68,257.43,North Dakota,108.28,2,Bowling Green,695.33,Regular
North Dakota,4959.05,9,551.01,0.0,1,0.0,4959.05,495.9,Bemidji State,108.28,2,Arizona State,1262.54,Regular
Robert Morris,5226.33,12,435.53,1814.06,1,1814.06,7040.39,541.57,Mercyhurst,109.45,5,Arizona State,1812.54,Regular
Penn State,6464.52,9,718.28,654.05,2,327.03,7118.57,647.14,Robert Morris,122.13,0,Alaska,3145.17,Regular
Augustana,4523.66,9,502.63,0.0,0,0.0,4523.66,502.63,Minnesota State,143.76,2,Alaska,2437.62,Regular
Lake Superior,2491.72,9,276.86,135.61,1,135.61,2627.33,262.73,Northern Michigan,145.09,4,Augustana,639.11,Regular
Omaha,5807.84,10,580.78,3544.59,3,1181.53,9352.43,719.42,Augustana,162.07,2,Holy Cross,2469.64,Neutral
Maine,1681.62,8,210.2,0.0,0,0.0,1681.62,210.2,New Hampshire,165.91,3,Rensselaer,291.24,Regular
Wisconsin,2810.51,7,401.5,192.81,2,96.4,3003.32,333.7,Notre Dame,187.77,4,Denver,840.74,Regular
Alaska,25759.66,12,2146.64,2721.99,1,2721.99,28481.65,2190.9,Alaska Anchorage,260.42,0,Long Island,3275.4,Regular
Lindenwood,5801.54,11,527.41,0.0,0,0.0,5801.54,527.41,Notre Dame,302.73,2,Wisconsin,303.37,Regular
Arizona State,8102.3,9,900.26,1.75,1,1.75,8104.05,810.4,Colorado College,543.44,4,Providence,2271.36,Regular
