Team,Total_Trips,N_trips,N_total_distance,N_AVG,N_shortest,N_longest,non_con_trips,non_con_total_distance,non_con_AVG,non_con_shortest,non_con_longest,con_trips,con_total_distance,con_AVG,con_shortest,con_longest,Closest_Team,Closest_Distance,Total_Closest_Matches
Air Force,9,1,600.52,600.52,600.52,600.52,2,1777.0,888.5,12.0,1765.0,6,9482.68,1580.45,1316.6,1771.36,Colorado College,12.0,2
Alaska,13,1,2721.99,2721.99,2721.99,2721.99,12,28671.48,2389.29,260.42,3275.4,0,0.0,0.0,0.0,0.0,Alaska Anchorage,260.42,6
Alaska Anchorage,12,0,0.0,0.0,0.0,0.0,12,31712.55,2642.71,260.42,3401.37,0,0.0,0.0,0.0,0.0,Alaska,260.42,6
American Intl,12,0,0.0,0.0,0.0,0.0,5,1045.97,209.19,51.98,565.24,7,1335.59,190.8,39.22,410.16,Massachusetts,18.77,1
Arizona State,10,1,1.75,1.75,1.75,1.75,3,4393.22,1464.41,548.65,2271.36,6,6358.26,1059.71,543.44,1563.33,Colorado College,543.44,4
Army,13,1,235.88,235.88,235.88,235.88,3,359.8,119.93,98.82,159.77,9,2959.79,328.87,38.82,1635.22,Sacred Heart,38.82,3
Augustana,9,0,0.0,0.0,0.0,0.0,5,5785.88,1157.18,162.07,2466.53,4,1595.28,398.82,143.76,685.61,Minnesota State,143.76,2
Bemidji State,11,0,0.0,0.0,0.0,0.0,4,571.32,142.83,108.28,188.52,7,2732.37,390.34,197.5,695.33,North Dakota,108.28,2
Bentley,12,0,0.0,0.0,0.0,0.0,4,504.89,126.22,7.47,227.54,8,3149.97,393.75,31.73,1771.36,Boston College,4.32,0
Boston College,14,1,5.84,5.84,5.84,5.84,2,1843.48,921.74,679.87,1163.62,11,555.82,50.53,2.86,179.12,Boston University,2.86,2
Boston University,14,2,2997.6,1498.8,2.99,2994.6,2,1435.92,717.96,117.52,1318.4,10,679.64,67.96,1.76,214.6,Harvard,1.08,1
Bowling Green,10,0,0.0,0.0,0.0,0.0,4,738.47,184.62,100.07,327.2,6,2737.92,456.32,185.2,695.33,Michigan,61.65,0
Brown,13,0,0.0,0.0,0.0,0.0,2,98.69,49.35,38.93,59.76,11,1846.09,167.83,39.93,268.98,Providence,2.04,1
Canisius,12,0,0.0,0.0,0.0,0.0,3,599.65,199.88,154.93,227.06,9,2819.17,313.24,17.18,1382.04,Niagara,17.18,3
Clarkson,15,2,113.41,56.7,56.7,56.7,2,764.07,382.04,90.27,673.8,11,2066.79,187.89,9.4,298.77,St Lawrence,9.4,2
Colgate,15,0,0.0,0.0,0.0,0.0,4,690.7,172.68,109.55,215.59,11,1625.04,147.73,54.04,227.51,Cornell,54.04,2
Colorado College,10,0,0.0,0.0,0.0,0.0,3,4229.06,1409.69,12.0,2453.52,7,3644.1,520.59,58.13,1036.0,Air Force,12.0,2
Connecticut,13,1,804.31,804.31,804.31,804.31,2,108.19,54.1,38.09,70.1,10,1037.59,103.76,42.51,280.13,American Intl,26.79,0
Cornell,14,2,2191.0,1095.5,173.87,2017.14,1,186.72,186.72,186.72,186.72,11,1999.95,181.81,54.04,273.8,Colgate,54.04,2
Dartmouth,14,0,0.0,0.0,0.0,0.0,3,272.1,90.7,69.63,110.02,11,1748.05,158.91,96.87,262.08,Vermont,69.63,1
Denver,10,0,0.0,0.0,0.0,0.0,3,5962.17,1987.39,1681.63,2402.69,7,4302.16,614.59,58.13,1077.23,Air Force,46.3,0
Ferris State,10,2,201.01,100.5,70.82,130.18,2,613.61,306.8,96.81,516.8,6,1797.49,299.58,185.2,523.51,Michigan State,82.95,0
Harvard,15,2,2997.46,1498.73,3.22,2994.25,2,75.21,37.61,3.12,72.1,11,1896.15,172.38,39.93,273.8,Boston University,1.08,1
Holy Cross,11,1,2469.64,2469.64,2469.64,2469.64,3,213.3,71.1,36.23,138.98,7,2719.15,388.45,31.73,1742.01,Bentley,31.73,3
Lake Superior,10,1,135.61,135.61,135.61,135.61,2,3181.04,1590.52,452.77,2728.27,7,2477.91,353.99,145.09,639.11,Northern Michigan,145.09,4
Lindenwood,12,0,0.0,0.0,0.0,0.0,12,9147.01,762.25,302.73,2928.4,0,0.0,0.0,0.0,0.0,Notre Dame,302.73,2
Long Island,11,0,0.0,0.0,0.0,0.0,11,4103.48,373.04,135.53,1201.7,0,0.0,0.0,0.0,0.0,Sacred Heart,37.83,0
Maine,8,0,0.0,0.0,0.0,0.0,1,291.24,291.24,291.24,291.24,7,1594.49,227.78,165.91,280.13,New Hampshire,165.91,3
Mass Lowell,15,3,2845.09,948.36,175.39,2494.31,1,37.98,37.98,37.98,37.98,11,551.54,50.14,9.75,157.12,Merrimack,9.75,2
Massachusetts,16,2,4522.41,2261.21,2217.89,2304.52,3,174.99,58.33,18.77,89.03,11,1013.72,92.16,43.12,259.93,American Intl,18.77,1
Mercyhurst,10,0,0.0,0.0,0.0,0.0,2,1006.87,503.44,317.09,689.78,8,2569.37,321.17,83.45,1319.12,Canisius,83.45,3
Merrimack,15,1,2980.96,2980.96,2980.96,2980.96,3,1373.14,457.71,49.93,1152.35,11,622.79,56.62,9.75,197.14,Mass Lowell,9.75,2
Miami,8,0,0.0,0.0,0.0,0.0,2,542.72,271.36,252.74,289.99,6,4217.21,702.87,196.19,1077.23,Ohio State,97.34,0
Michigan,12,2,237.86,118.93,35.5,202.36,3,2388.59,796.2,95.81,1646.64,7,1519.65,217.09,49.68,510.85,Michigan State,49.68,4
Michigan State,11,3,310.96,103.65,62.2,170.82,2,546.33,273.17,259.79,286.54,6,1447.51,241.25,49.68,463.1,Michigan,49.68,4
Michigan Tech,10,2,2035.05,1017.52,319.19,1715.86,0,0.0,0.0,0.0,0.0,8,2247.22,280.9,66.07,469.62,Northern Michigan,66.07,5
Minnesota,10,2,1309.41,654.7,6.63,1302.78,2,327.09,163.55,138.57,188.52,6,3078.43,513.07,231.89,830.01,St Thomas,9.02,2
Minnesota Duluth,8,0,0.0,0.0,0.0,0.0,2,1196.46,598.23,137.92,1058.54,6,3674.2,612.37,132.54,1390.42,St Cloud State,132.54,4
Minnesota State,8,0,0.0,0.0,0.0,0.0,1,534.09,534.09,534.09,534.09,7,1976.98,282.43,64.5,495.8,St Thomas,64.5,4
New Hampshire,15,0,0.0,0.0,0.0,0.0,4,648.71,162.18,78.25,272.53,11,821.47,74.68,34.01,165.91,Merrimack,34.01,2
Niagara,12,0,0.0,0.0,0.0,0.0,3,718.76,239.59,217.97,273.5,9,2639.29,293.25,17.18,1373.66,Canisius,17.18,3
North Dakota,10,1,0.0,0.0,0.0,0.0,3,1477.52,492.51,108.28,1070.57,6,3942.81,657.14,215.08,1262.54,Bemidji State,108.28,2
Northeastern,15,2,113.94,56.97,2.25,111.69,2,1882.01,941.01,113.7,1768.31,11,710.41,64.58,1.76,214.48,Boston University,1.76,2
Northern Michigan,11,1,262.67,262.67,262.67,262.67,2,1096.88,548.44,66.07,1030.8,8,2121.75,265.22,66.07,502.37,Michigan Tech,66.07,5
Notre Dame,10,2,3681.97,1840.98,75.62,3606.35,2,1196.23,598.11,593.63,602.6,6,1500.23,250.04,114.37,440.21,Western Michigan,51.8,0
Ohio State,10,1,277.07,277.07,277.07,277.07,3,951.48,317.16,100.07,442.93,6,1862.06,310.34,160.67,623.63,Miami,97.34,0
Omaha,9,2,2319.09,1159.55,1093.59,1225.5,1,226.61,226.61,226.61,226.61,6,3433.21,572.2,311.91,1024.56,Augustana,162.07,2
Penn State,10,2,654.05,327.03,138.96,515.09,2,3406.64,1703.32,261.47,3145.17,6,2850.83,475.14,277.75,830.01,Robert Morris,122.13,0
Princeton,12,0,0.0,0.0,0.0,0.0,1,80.63,80.63,80.63,80.63,11,2212.37,201.12,112.97,298.77,Long Island,62.8,0
Providence,16,4,1879.04,469.76,135.2,1319.53,1,2.04,2.04,2.04,2.04,11,711.4,64.67,36.58,201.85,Brown,2.04,1
Quinnipiac,15,1,72.72,72.72,72.72,72.72,2,402.83,201.42,80.55,322.28,12,1592.63,132.72,6.74,248.07,Yale,6.74,2
RIT,11,0,0.0,0.0,0.0,0.0,4,1003.28,250.82,162.96,340.79,7,2522.33,360.33,60.86,1442.25,Canisius,60.86,3
Rensselaer,15,0,0.0,0.0,0.0,0.0,4,1225.29,306.32,14.27,617.89,11,1289.55,117.23,14.27,172.65,Union,14.27,3
Robert Morris,11,1,1814.06,1814.06,1814.06,1814.06,2,1233.17,616.58,252.74,980.43,8,2180.63,272.58,109.45,480.94,Mercyhurst,109.45,3
Sacred Heart,10,0,0.0,0.0,0.0,0.0,2,250.56,125.28,89.03,161.52,8,1410.9,176.36,38.82,357.16,Yale,18.43,1
St Cloud State,9,0,0.0,0.0,0.0,0.0,3,771.2,257.07,68.35,566.26,6,2539.75,423.29,132.54,715.65,Minnesota,59.77,0
St Lawrence,16,2,123.72,61.86,61.86,61.86,3,671.32,223.77,97.53,294.94,11,2053.58,186.69,9.4,294.2,Clarkson,9.4,2
St Thomas,11,1,5.81,5.81,5.81,5.81,3,521.1,173.7,9.02,443.73,7,1873.58,267.65,64.5,537.23,Minnesota,9.02,2
Stonehill,14,0,0.0,0.0,0.0,0.0,14,4188.24,299.16,23.89,1094.12,0,0.0,0.0,0.0,0.0,Brown,23.89,1
Union,14,0,0.0,0.0,0.0,0.0,3,569.12,189.71,146.74,259.88,11,1300.49,118.23,14.27,174.97,Rensselaer,14.27,3
Vermont,10,0,0.0,0.0,0.0,0.0,3,1316.82,438.94,119.77,980.67,7,1206.65,172.38,145.53,224.63,Dartmouth,69.63,1
Western Michigan,10,1,46.9,46.9,46.9,46.9,3,931.59,310.53,95.81,738.97,6,4456.58,742.76,196.19,1553.69,Notre Dame,51.8,0
Wisconsin,9,2,192.81,96.4,74.92,117.88,1,840.74,840.74,840.74,840.74,6,1969.77,328.3,187.77,614.27,Notre Dame,187.77,4
Yale,13,0,0.0,0.0,0.0,0.0,1,53.07,53.07,53.07,53.07,12,1606.46,133.87,6.74,253.88,Quinnipiac,6.74,2
