City,State_Province,Country,Player_Count,Latitude,Longitude
Abbotsford,British Columbia,Canada,4,49.0521162,-122.329479
Abington,Massachusetts,USA,1,42.1048228,-70.9453218
Airdrie,Alberta,Canada,3,51.28597,-114.01062
Albert Lea,Minnesota,USA,1,43.6480127,-93.3682656
Alexandria,Minnesota,USA,1,45.8835101,-95.3745015
Alexandria,Virginia,USA,2,38.8051095,-77.0470229
Algonquin,Illinois,USA,2,42.1655801,-88.2942493
Allendale,Michigan,USA,1,42.9903205,-85.95296849268018
Almonte,Ontario,Canada,1,45.226049,-76.1945277
Alpharetta,Georgia,USA,2,34.0709576,-84.2747329
Altoona,Wisconsin,USA,1,44.8046825,-91.4429355
Ames,Iowa,USA,1,42.0267567,-93.6170448
Amherst,Massachusetts,USA,1,42.3731948,-72.5198761
Anaheim,California,USA,1,33.8347516,-117.911732
Ancaster,Ontario,Canada,1,43.225693,-79.976692
Anchorage,Alaska,USA,10,61.2163129,-149.894852
Andover,Massachusetts,USA,3,42.65717,-71.1408776
Andover,Minnesota,USA,8,45.2332985,-93.2913405
Andover,New Hampshire,USA,1,43.4366616,-71.8197481
Anmore,British Columbia,Canada,1,49.314443,-122.856459
Apple Valley,Minnesota,USA,5,44.7319094,-93.21772
Appleton,Wisconsin,USA,1,44.2613967,-88.4069744
Arlington,Massachusetts,USA,4,42.4153739,-71.1564428
Armonk,New York,USA,2,41.1264847,-73.7139777
Arnprior,Ontario,Canada,1,45.433515,-76.3543692
Ashburn,Virginia,USA,1,39.030019100000004,-77.46964646557657
Ashburnham,Massachusetts,USA,1,42.6357648,-71.9086801
Atlanta,Georgia,USA,1,33.7489924,-84.3902644
Atlantic Highlands,New Jersey,USA,1,40.4078865,-74.034306
Atlantic Mine,Michigan,USA,1,47.0971497,-88.6276246
Auburn,New Hampshire,USA,1,43.0045289,-71.348398
Auburn,Washington,USA,1,47.3075369,-122.2301808
Aurora,Illinois,USA,1,41.7571701,-88.3147539
Aurora,Ontario,Canada,3,43.99973,-79.467545
Avon,Connecticut,USA,1,41.7804255,-72.83502114202705
Avon,New Jersey,USA,1,40.1923357,-74.0159703
Baldwin Park,California,USA,1,34.0854739,-117.9611761
Balgonie,Saskatchewan,Canada,1,50.4892758,-104.2669058
Banska Stiavnica,Slovakia,Slovakia,1,48.4580926,18.8988414
Bardejov,Slovakia,Slovakia,1,49.2926871,21.2756031
