Clean_Player,Team,G,A,Pts,plus_minus,Sh,PIM,Games_Played
A.J. Hodges,Bentley,6,9,15,-1,57,2,29
A.J. Macaulay,Alaska,5,10,15,9,44,14,34
AJ Casperson,Long Island,0,1,1,1,7,2,12
Aaron Bohlinger,Massachusetts,3,5,8,1,22,4,34
Aaron Grounds,Long Island,1,2,3,-5,14,16,11
Aaron Huglen,Minnesota,13,8,21,-6,82,21,37
Aaron Pionk,Minnesota-Duluth,3,17,20,-9,88,22,37
Aaron Trotter,St. Thomas,0,2,2,0,0,0,24
Abram Wiebe,North Dakota,1,9,10,14,35,27,40
Adam Arvedson,Merrimack,1,3,4,-1,12,2,21
Adam Cardona,Mass.-Lowell,1,0,1,1,8,8,15
Adam Conquest,Lindenwood,3,5,8,-8,29,28,27
Adam Eisele,Minnesota State,8,15,23,3,96,16,37
Adam Flammang,Bemidji State,9,10,19,18,89,24,38
Adam Ingram,St. Cloud State,10,18,28,9,77,18,38
Adam Jeffery,RIT,1,1,2,5,18,4,11
Adam Pitters,Long Island,4,5,9,3,36,10,30
Adam Robbins,Princeton,11,18,29,-3,80,8,30
Adam Schankula,Bowling Green,1,2,3,0,28,0,14
Adam Tisdale,Alaska-Anchorage,5,8,13,-6,45,4,34
Adrien Bisson,Mercyhurst,2,6,8,-8,23,16,23
Aidan Connolly,Sacred Heart,0,0,0,-2,4,2,2
Aidan Hreschuk,Boston College,2,13,15,21,38,32,41
Aidan Thompson,Denver,11,19,30,16,93,35,44
Aiden Celebrini,Boston University,1,5,6,7,17,20,36
Aiden Dubinsky,Minnesota-Duluth,3,12,15,-12,34,20,37
Aiden Fink,Penn State,15,19,34,-3,110,27,34
Aiden Gallacher,Northern Michigan,3,5,8,-2,41,25,34
Aiden Hansen-Bukata,RIT,5,26,31,23,60,28,37
Aiden Westin,Alaska-Anchorage,7,9,16,1,35,17,29
Aiden Yakimchuk,Lindenwood,5,5,10,-5,25,6,16
Aksel Reid,Union,0,0,0,0,0,0,1
Akseli Pennanen,American Int'l,0,1,1,-1,2,0,7
Aku Koskenvuo,Harvard,0,0,0,0,0,0,17
Albin Boija,Maine,0,1,1,0,0,0,18
Albin Nilsson,Miami,4,5,9,-12,23,2,17
Alec Cicero,Holy Cross,11,7,18,-3,93,35,39
Alex Bump,Western Michigan,14,22,36,7,160,27,38
Alex Campbell,Northeastern,22,20,42,13,110,6,36
Alex DiPaolo,Colgate,12,11,23,1,60,16,26
Alex Gaffney,Harvard,8,2,10,-18,42,0,31
Alex Gagne,New Hampshire,1,13,14,13,50,24,36
Alex Gomez,Alaska-Anchorage,1,3,4,-6,18,6,23
Alex Houston,Canisius,0,0,0,0,0,0,1
Alex Jefferies,Merrimack,13,10,23,1,69,19,22
Alex Konovalov,Princeton,0,1,1,-2,10,2,14
Alex Krause,Dartmouth,1,1,2,0,17,15,18
Alex Murray,Niagara,1,12,13,-2,35,10,22
Alex Nordstrom,Michigan Tech,4,4,8,6,35,6,26
Alex Peterson,Mass.-Lowell,1,3,4,-10,34,16,30
Alex Pineau,Brown,7,8,15,-20,80,20,30
Alex Power,Quinnipiac,4,5,9,8,20,2,31
Alex Servagno,Penn State,2,4,6,-5,46,2,30
Alex Tracy,Minnesota State,0,1,1,0,0,0,28
Alex Weiermair,Denver,3,3,6,2,10,2,24
Alex Young,Arizona State,6,3,9,-5,61,8,37
Alexander Lundman,Bemidji State,3,5,8,-5,17,4,20
Alexander Malinowski,American Int'l,9,11,20,5,68,23,27
Alexander Tertyshny,Stonehill,0,3,3,-23,19,16,28
Alexandros Aslanidis,American Int'l,0,0,0,0,0,0,9
Alfred Lindberg,American Int'l,11,11,22,6,43,6,20
Altti Nykanen,Rensselaer,1,3,4,4,9,0,7
Andon Cerbone,Quinnipiac,12,14,26,20,90,23,39
Andre Gasseau,Boston College,12,17,29,17,83,27,40
Andre Ghantous,Northern Michigan,9,23,32,-3,71,48,34
Andrei Buyalsky,Vermont,3,8,11,-5,48,8,25
Andrew Amousse,American Int'l,1,0,1,-1,4,4,10
Andrew Centrella,Providence,0,3,3,5,15,0,18
Andrew DeCarlo,Air Force,5,9,14,-4,43,12,32
Andrew Garby,Army,2,0,2,-3,7,2,10
Andrew Gilbert,Army,0,0,0,-12,19,10,33
Andrew Lucas,Connecticut,5,11,16,3,76,16,36
Andrew Noel,Ferris State,1,3,4,-2,29,4,35
Andrew Takacs,Colgate,0,0,0,0,0,2,3
Andrius Kulbis-Marino,Sacred Heart,5,5,10,-2,49,14,36
Andy Moore,Northeastern,0,1,1,2,11,12,31
Anthony Calafiore,Maine,2,2,4,-4,17,0,19
Anthony Cipollone,Quinnipiac,7,6,13,13,31,2,36
Anthony Dowd,Arizona State,3,10,13,-1,58,12,36
Anthony Galante,Stonehill,5,2,7,-27,48,10,31
Anthony Kehrer,Wisconsin,2,7,9,17,47,23,38
Anthony Menghini,Minnesota-Duluth,8,2,10,6,76,43,37
Anthony Messuri,Northeastern,0,0,0,-1,0,0,3
Anthony Mollica,St. Lawrence,0,1,1,-2,3,0,5
Anthony Romano,Clarkson,10,15,25,-3,79,4,27
Anthony Stark,Augustana,2,3,5,-2,17,4,30
Anton Rubtsov,Alaska,8,20,28,6,63,14,30
Antonio Fernandez,Colorado College,0,0,0,0,1,0,2
Antonio Venuto,Ferris State,12,14,26,0,88,44,36
Aram Minnetian,Boston College,3,6,9,11,31,29,40
Arlo Merritt,Bentley,6,6,12,-3,53,4,30
Arnaud Vachon,Augustana,8,8,16,-4,68,27,34
Aron Jessli,Niagara,1,3,4,-11,28,0,28
Arseni Sergeyev,Connecticut,0,0,0,0,0,0,16
Artem Shlaine,Northern Michigan,10,13,23,-5,78,23,27
Arthur Smith,Princeton,0,0,0,0,0,0,20
Artur Turansky,Miami,4,5,9,-21,62,6,35
Artyom Borshyov,Lake Superior,2,6,8,-8,30,12,36
Artyom Levshunov,Michigan State,9,26,35,27,82,44,38
Arvid Caderoth,Michigan Tech,7,6,13,-8,62,14,35
Arvils Bergmanis,Alaska,2,17,19,8,47,39,31
Atte Lehikoinen,Long Island,0,0,0,-3,2,2,6
Austen Long,American Int'l,8,8,16,5,54,27,38
Austen May,Providence,4,9,13,4,68,4,30
Austen Swankler,Michigan Tech,0,3,3,-4,27,10,10
Austin Brimmer,Long Island,7,8,15,-6,48,12,30
Austin Fraser,Lindenwood,2,2,4,-5,18,30,24
Austin Heidemann,Rensselaer,11,16,27,-12,84,8,37
Austin Jouppi,Bemidji State,2,17,19,4,57,16,37
Austin McCarthy,Ferris State,3,2,5,-5,26,4,20
Austin Oravetz,Michigan State,0,5,5,8,20,15,33
Austin Roden,Clarkson,0,1,1,0,0,0,25
Austin Schwartz,Air Force,10,9,19,6,91,10,38
Axel Begley,Minnesota,0,0,0,-2,4,0,14
Axel Kumlin,Miami,2,9,11,-12,66,10,34
Axel Mangbo,Vermont,0,0,0,0,0,0,3
Aydar Suniev,Massachusetts,12,13,25,1,101,25,36
Ayrton Martino,Clarkson,9,18,27,-5,69,8,31
Barrett Brooks,Mercyhurst,4,6,10,-5,27,23,27
Barrett Hall,St. Cloud State,8,8,16,-5,60,16,33
Barron Woodring,Army,5,3,8,-6,50,16,31
Bayard Hall,Yale,1,5,6,-12,50,10,30
Ben Almquist,Alaska-Anchorage,14,16,30,10,84,14,34
Ben Anderson,Alaska-Anchorage,0,1,1,0,7,14,11
Ben Brar,Merrimack,5,14,19,-18,98,20,35
Ben Brunette,Mass.-Lowell,1,0,1,1,11,4,13
Ben Dexheimer,Wisconsin,5,23,28,2,75,16,40
Ben Doran,Bowling Green,3,7,10,-4,18,28,25
Ben Kraws,St. Lawrence,0,0,0,0,0,0,37
Ben MacDonald,Harvard,5,10,15,-10,66,36,32
Ben Meehan,Mass.-Lowell,1,11,12,-5,47,31,25
Ben Poisson,Maine,6,9,15,0,94,21,37
Ben Raymond,Colgate,4,7,11,2,48,6,35
Ben Robertson,Cornell,5,18,23,19,76,2,35
Ben Schultheis,Ferris State,0,2,2,-8,20,6,21
Ben Steeves,Minnesota-Duluth,24,10,34,-10,147,30,37
Ben Strinden,North Dakota,6,6,12,6,56,18,39
Ben Troumbly,Augustana,5,8,13,-9,31,14,28
Ben Tupker,Union,9,10,19,5,63,24,34
Ben Wozney,Bowling Green,2,7,9,-3,35,16,22
Beni Halasz,Northern Michigan,0,0,0,0,0,15,28
Benito Posa,Lake Superior,0,0,0,-4,5,2,4
Benji Eckerle,Arizona State,5,15,20,8,61,12,35
Bennett Schimek,Providence,8,9,17,8,70,6,34
Bennett Zmolek,North Dakota,0,8,8,17,27,22,33
Billy Norcross,Northeastern,0,4,4,-1,18,4,26
Blais Richartz,Michigan Tech,3,4,7,5,46,8,31
Blake Biondi,Minnesota-Duluth,8,11,19,-20,77,29,34
Blake Dangos,Sacred Heart,1,3,4,-4,22,16,19
Blake Humphrey,Sacred Heart,2,4,6,-4,28,4,23
Blake Mesenburg,Miami,2,1,3,-10,41,16,36
Blake Pietila,Michigan Tech,0,1,1,0,0,0,37
Blake Wells,American Int'l,4,6,10,3,31,12,32
Bo Cosman,Massachusetts,0,1,1,0,4,0,3
Bobby Metz,Colgate,2,2,4,10,27,2,36
Bodie Nobes,Maine,0,0,0,-1,18,17,19
Boris Skalos,Mercyhurst,15,12,27,2,110,10,35
Boston Buckberger,Denver,5,22,27,32,79,27,44
Brad McNeil,Rensselaer,4,4,8,-2,34,9,36
