PLAYER,2023/24 TEAM,GP,G,A,P,POS.,YR.,HOMETOWN,STATE/COUNTRY,HT/WT,DESTINATION TEAM,NOTABLE INFO,23/24 CONFERENCE,NEW CONFERENCE,DATE ADDED TO LIST
Cole Hanson,Maine,34,4,4,8,F,Jr.,Grand Forks,North Dakota,5'11 / 174,(DI golf at Mercer),Transferring to Mercer to pursue DI golf.,Hockey East,N/A,4/3/2024
Austin McCarthy,Ferris State,20,3,2,5,F,Sr.,Ludington,Michigan,6'1 / 194,Adrian,,CCHA,DIII,3/18/2024
Brett Bamber,Alaska-Anchorage,34,4,9,13,D,So.,"St. Albert, AB",Canada,5'10 / 174,AIC,,Independent,Atlantic,4/1/2024
Danny Weight,Colorado College,6,1,0,1,F,Sr.,"Edmonton, AB",Canada,6'0 / 185,AIC,Two-time transfer. Also played at BC.,NCHC,Atlantic,3/27/2024
Noah Serdachny,Colorado College,5,0,0,0,F,So.,"Edmonton, AB",Canada,6'1 / 190,AIC,,NCHC,Atlantic,4/1/2024
David Posma,Niagara,15,1,2,3,D,So.,Pomona,New York,6'0 / 170,AIC,Spent half the season in the USHL.,Atlantic,Atlantic,4/2/2024
Nicky Wallace,Quinnipiac,2,0,0,0,D,Fr.,Atlantic Highlands,New Jersey,5'8 / 165,AIC,,ECAC,Atlantic,4/2/2024
Lauri Sertti,RPI,36,2,6,8,D,Sr.,Espoo,Finland,6'1 / 190,AIC,,ECAC,Atlantic,3/21/2024
Chase Clark,Sacred Heart,19,3.03,0.898,8,G,So.,Williamsville,New York,6'6 / 218,AIC,2021 6th round pick of WSH. Two-time transfer.,Atlantic,Atlantic,3/31/2024
Blake Dangos,Sacred Heart,19,1,3,4,D,So.,St. Louis,Missouri,5'10 / 174,AIC,Two-time transfer. Also played at ASU.,Atlantic,Atlantic,4/1/2024
Matt Rickard,AIC,25,2,4,6,D,Sr.,Coventry,Rhode Island,6'0 / 170,Alaska,,Atlantic,Independent,3/31/2024
Nicholas Grabko,Bentley,15,2.4,0.908,6,G,Sr.,Channahon,Illinois,6'0 / 187,Alaska,,Atlantic,Independent,3/21/2024
Luke Johnson,Minnesota Duluth,26,1,2,3,F,So.,St. Cloud,Minnesota,5'9 / 165,Alaska,,NCHC,Independent,3/31/2024
Matt Hubbarde,Providence,13,1,0,1,F,Jr.,"Pickering, ON",Canada,6'1 / 190,Alaska,Two-time transfer. Also played at Dartmouth.,Hockey East,Independent,3/31/2024
Adam Cardona,UMass Lowell,15,1,0,1,D,Fr.,"Beaconsfield, QC",Canada,6'2 / 201,Alaska,,Hockey East,Independent,3/31/2024
Luke LaMaster,Wisconsin,1,0,0,0,D,Sr.,Duluth,Minnesota,6'0 / 187,Alaska,,Big 10,Independent,4/2/2024
Logan Acheson,Bemidji State,28,2,2,4,D,So.,"Edmonton, AB",Canada,5'10 / 179,Alaska-Anchorage,,CCHA,Independent,4/15/2024
Tanner Edwards,Minnesota State,5,0,0,0,F,Sr.,Anchorage,Alaska,6'0 / 170,Alaska-Anchorage,,CCHA,Independent,3/20/2024
Will Schimek,Providence,-,-,-,-,D,Jr.,Mendota Heights,Minnesota,6'2 / 201,Alaska-Anchorage,,Hockey East,Independent,4/4/2024
Joey Potter,Union,21,0,3,3,D,Fr.,Los Angeles,California,5'11 / 185,Alaska-Anchorage,,ECAC,Independent,3/28/2024
Matt Lenz,Mercyhurst,-,-,-,-,G,Jr.,"Calgary, AB",Canada,5'11 / 170,Albertus Magnus,,Atlantic,DIII,3/18/2024
Noah Beck,Clarkson,30,3,6,9,D,Sr.,"Richmond Hill, ON",Canada,6'4 / 183,Arizona State,2020 7th round pick of STL.,ECAC,NCHC,3/19/2024
Artem Shlaine,Northern Michigan,27,10,13,23,F,Sr.,Moskva,Russia,6'1 / 187,Arizona State,2020 5th round pick of NJD. Two-time transfer (UConn).,CCHA,NCHC,4/3/2024
Ryan Kirwan,Penn State,36,13,13,26,F,Jr.,DeWitt,New York,6'2 / 194,Arizona State,,Big 10,NCHC,4/12/2024
Bennett Schimek,Providence,34,8,9,17,F,So.,Mendota Heights,Minnesota,6'0 / 187,Arizona State,,Hockey East,NCHC,4/4/2024
Luke Pavicich,UMass Lowell,17,3.61,0.885,3,G,So.,Clarence Center,New York,6'3 / 194,Arizona State,Two-time transfer. Also played at UMass.,Hockey East,NCHC,4/1/2024
Cruz Lucius ,Wisconsin,36,13,21,34,F,So.,Grant,Minnesota,6'0 / 179,Arizona State,2022 4th round pick of CAR. Leading scorer.,Big 10,NCHC,3/15/2024
Carsen Stokes,Northern Michigan,-,-,-,-,G,Fr.,Prior Lake,Minnesota,5'10 / 170,Augsburg,,CCHA,DIII,4/1/2024
Owen Baumgartner,Air Force,24,4,6,10,D,Fr.,Owatonna,Minnesota,5'10 / 185,Augustana,,Atlantic,CCHA,4/1/2024
Payton Matsui,Alaska,34,5,15,20,F,Jr.,Lakeville ,Minnesota,5'7 / 160,Augustana,,Independent,CCHA,3/25/2024
AJ Macaulay,Alaska,34,5,10,15,D,So.,"Bonnyville, AB",Canada,5'9 / 185,Bemidji State,,Independent,CCHA,3/31/2024
Carter Randklev,Niagara,37,11,20,31,F,Sr.,Moorhead,Minnesota,5'8 / 163,Bemidji State,Niagara leading scorer.,Atlantic,CCHA,3/19/2024
Reilly Funk,Northern Michigan,17,2,2,4,F,Jr.,"Portage, MB",Canada,6'3 / 209,Bemidji State,,CCHA,CCHA,6/29/2024
Jake Black,UConn,24,2,2,4,F,So.,Pomfret,Connecticut,5'11 / 181,Bentley,,Hockey East,Atlantic,3/26/2024
Shane LaVelle,Lindenwood,7,1,0,1,F,So.,Chaska,Minnesota,6'1 / 181,Bethel,,Independent,DIII,5/1/2024
Brady Berard ,Providence,27,2,6,8,F,So.,East Greenwich,Rhode Island,6'1 / 198,Boston College,,Hockey East,Hockey East,3/31/2024
Matt Copponi,Merrimack,30,7,25,32,F,Jr.,Mansfield,Massachusetts,5'11 / 174,Boston University,2023 7th round pick of EDM. Leading scorer.,Hockey East,Hockey East ,3/31/2024
Brehdan Engum,UMass Lowell,34,0,4,4,D,Sr.,Burnsville,Minnesota,6'3 / 220,Boston University,,Hockey East,Hockey East,3/21/2024
Jackson Niedermayer,Arizona State,33,9,4,13,F,Jr.,Newport Beach,California,6'0 / 196,Bowling Green,,Independent,CCHA,3/31/2024
Matvei Kabanov,Northern Michigan,26,4,5,9,F,Fr.,Togliatti,Russia,5'11 / 159,Bowling Green,,CCHA,CCHA,7/10/2024
Ville Immonen,Union,36,8,16,24,F,Sr.,Seinajoki,Finland,6'2 / 201,Bowling Green,,ECAC,CCHA,3/20/2024
Will Hambley,Alaska,4,3.49,0.786,0,G,So.,"Cole Harbour, NS",Canada,6'3 / 190,Brock,Two-time transfer. Also played at WMU.,Independent,USports,4/8/2024
Alec Cicero,Holy Cross,39,11,7,18,F,Sr.,Williamsville,New York,5'10 / 181,Canisius,,Atlantic,Atlantic ,3/19/2024
Kash Rasmussen,Michigan Tech,35,3,9,12,F,So.,"Cochrane, AB",Canada,6'1 / 179,Canisius,,CCHA,Atlantic,4/1/2024
Michael Colella,Northern Michigan,34,7,5,12,F,Sr.,Turnersville,New Jersey,5'7 / 154,Canisius,,CCHA,Atlantic,3/18/2024
