Current Team,Last_Name,First_Name,No,Position,Yr,Ht,Wt,DOB,Hometown,Height_Inches,Draft_Year,NHL_Team,D_Round,Last Team,League,City,State_Province,Country
Lake Superior,Barone, Adam,6,Defensemen,Fr,6-1,174,5/6/2004,"Sault Ste. Marie, Ont.",73,,,,Trail,BCHL,Sault Ste. Marie,Ontario,Canada
Lake Superior,Blanchett, Jack,16,Defensemen,So,5-11,185,5/12/2003,"Monroe, Mich.",71,,,,Powell,BCHL,Monroe,Michigan,USA
Lake Superior,Brown, Mike,3,Defensemen,Jr,6-2,209,4/3/2001,"Belmont, Mass.",74,,,,Merrimack,,Belmont,Massachusetts,USA
Lake Superior,Bushy, Evan,5,Defensemen,So,6-1,195,3/26/2002,"Mankato, Minn.",73,,,,Trail,BCHL,Mankato,Minnesota,USA
Lake Superior,Conrad, Jacob,4,Defensemen,Fr,5-11,180,5/18/2002,"Green Bay, Wis.",71,,,,Fairbanks,NAHL,Green Bay,Wisconsin,USA
Lake Superior,Druskinis, John,0,Defensemen,So,6-2,185,4/10/2002,"Plymouth, Mich.",74,,,,Michigan,,Plymouth,Michigan,USA
Lake Superior,Hindman, Grant,20,Defensemen,Sr,6-0,200,5/16/2002,"Oakland, Mich.",72,,,,Youngstown,USHL,Oakland,Michigan,USA
Lake Superior,Huggins, Bryan,2,Defensemen,Jr,5-11,180,3/26/2002,"Grand Rapids, Mich.",71,,,,Fargo,USHL,Grand Rapids,Michigan,USA
Lake Superior,Schweitzer, Nate,14,Defensemen,Sr,6-0,195,2/21/2002,"Champlin, Minn.",72,,,,Colorado College,NCHC,Champlin,Minnesota,USA
Lake Superior,Ahlrik, William,24,Forwards,Fr,6-0,190,9/25/2003,"Tidaholm, Sweden",72,,,,Oklahoma,NAHL,Tidaholm,Sweden,Sweden
Lake Superior,Bakos, Timo,22,Forwards,Sr,6-1,194,7/28/2000,"Augsburg, Germany",73,,,,Starbulls,Oberliga,Augsburg,Germany,Germany
Lake Superior,Batchelder, Carter,18,Forwards,So,5-10,175,2/25/2003,"Savage, Minn.",70,,,,Des Moines,USHL,Savage,Minnesota,USA
Lake Superior,Craft, Cole,26,Forwards,Sr,6-2,195,6/29/2001,"North Bay, Ont.",74,,,,Lincoln,USHL,North Bay,Ontario,Canada
Lake Superior,Dahlheimer, Wilson,13,Forwards,Fr,5-9,172,10/9/2003,"Monticello, Minn.",69,,,,Muskegon,USHL,Monticello,Minnesota,USA
