Date,Conference,Game_Notes,Away_Team,Away_Team_Link,Away_Score,Home_Team,Home_Team_Link,Home_Score,OT,Box_Link,Metrics_Link,Day,Game_ID
2024-10-04,Non-Conference,,Michigan State,/reports/team/Michigan-State/32,,Lake Superior,/reports/team/Lake-Superior/24,,,,,Friday,2024-10-04_Lake Superior_Michigan State
2024-10-04,Non-Conference,,Minnesota State,/reports/team/Minnesota-State/35,,Michigan,/reports/team/Michigan/31,,,,,Friday,2024-10-04_Michigan_Minnesota State
2024-10-04,Non-Conference,,Arizona State,/reports/team/Arizona-State/61,,Air Force,/reports/team/Air-Force/1,,,,,Friday,2024-10-04_Air Force_Arizona State
2024-10-05,Non-Conference,,Providence,/reports/team/Providence/46,,Union,/reports/team/Union/54,,,,,Saturday,2024-10-05_Union_Providence
2024-10-05,Non-Conference,,Holy Cross,/reports/team/Holy-Cross/23,,Boston University,/reports/team/Boston-University/10,,,,,Saturday,2024-10-05_Boston University_Holy Cross
2024-10-05,Non-Conference,,Penn State,/reports/team/Penn-State/60,,Alaska,/reports/team/Alaska/4,,,,,Saturday,2024-10-05_Alaska_Penn State
2024-10-05,Non-Conference,,Bemidji State,/reports/team/Bemidji-State/7,,Minnesota-Duluth,/reports/team/Minnesota-Duluth/36,,,,,Saturday,2024-10-05_Minnesota-Duluth_Bemidji State
2024-10-05,Non-Conference,,Michigan State,/reports/team/Michigan-State/32,,Lake Superior,/reports/team/Lake-Superior/24,,,,,Saturday,2024-10-05_Lake Superior_Michigan State
2024-10-05,Non-Conference,,Minnesota State,/reports/team/Minnesota-State/35,,Michigan,/reports/team/Michigan/31,,,,,Saturday,2024-10-05_Michigan_Minnesota State
2024-10-05,Non-Conference,,Denver,/reports/team/Denver/20,,Alaska-Anchorage,/reports/team/Alaska-Anchorage/3,,,,,Saturday,2024-10-05_Alaska-Anchorage_Denver
2024-10-05,Non-Conference,,Massachusetts,/reports/team/Massachusetts/27,,Bentley,/reports/team/Bentley/8,,,,,Saturday,2024-10-05_Bentley_Massachusetts
2024-10-05,Non-Conference,,Canisius,/reports/team/Canisius/13,,Clarkson,/reports/team/Clarkson/14,,,,,Saturday,2024-10-05_Clarkson_Canisius
2024-10-05,Non-Conference,,Colgate,/reports/team/Colgate/15,,Connecticut,/reports/team/Connecticut/17,,,,,Saturday,2024-10-05_Connecticut_Colgate
2024-10-05,Non-Conference,,RIT,/reports/team/RIT/49,,St. Lawrence,/reports/team/St-Lawrence/53,,,,,Saturday,2024-10-05_St. Lawrence_RIT
2024-10-05,Non-Conference,,Bowling Green,/reports/team/Bowling-Green/11,,Mercyhurst,/reports/team/Mercyhurst/28,,,,,Saturday,2024-10-05_Mercyhurst_Bowling Green
2024-10-05,Non-Conference,,American Int'l,/reports/team/American-Intl/5,,Maine,/reports/team/Maine/25,,,,,Saturday,2024-10-05_Maine_American Int'l
2024-10-05,Non-Conference,,Arizona State,/reports/team/Arizona-State/61,,Air Force,/reports/team/Air-Force/1,,,,,Saturday,2024-10-05_Air Force_Arizona State
2024-10-05,Non-Conference,,Miami,/reports/team/Miami/30,,Ferris State,/reports/team/Ferris-State/21,,,,,Saturday,2024-10-05_Ferris State_Miami
2024-10-05,Exhibition,,Briercrest,,,Colorado College,/reports/team/Colorado-College/16,,,,,Saturday,2024-10-05_Colorado College_Briercrest
2024-10-05,Exhibition,,US Under-18,,,Western Michigan,/reports/team/Western-Michigan/57,,,,,Saturday,2024-10-05_Western Michigan_US Under-18
2024-10-05,Exhibition,,Wisconsin,/reports/team/Wisconsin/58,,Omaha,/reports/team/Omaha/37,,,,,Saturday,2024-10-05_Omaha_Wisconsin
2024-10-05,Exhibition,,Northern Michigan,/reports/team/Northern-Michigan/42,,Michigan Tech,/reports/team/Michigan-Tech/33,,,,,Saturday,2024-10-05_Michigan Tech_Northern Michigan
2024-10-05,Exhibition,,Stonehill,/reports/team/Stonehill/422,,New Hampshire,/reports/team/New-Hampshire/38,,,,,Saturday,2024-10-05_New Hampshire_Stonehill
2024-10-05,Exhibition,,Manitoba,,,St. Thomas,/reports/team/St-Thomas/63,,,,,Saturday,2024-10-05_St. Thomas_Manitoba
2024-10-05,Exhibition,,Sacred Heart,/reports/team/Sacred-Heart/51,,Merrimack,/reports/team/Merrimack/29,,,,,Saturday,2024-10-05_Merrimack_Sacred Heart
2024-10-05,Exhibition,,TBA,,,Rensselaer,/reports/team/Rensselaer/48,,,,,Saturday,2024-10-05_Rensselaer_TBA
2024-10-05,Exhibition,,Minnesota,/reports/team/Minnesota/34,,St. Cloud State,/reports/team/St-Cloud-State/52,,,,/schedules/radiotv.php?type=tv&tvid=169,Saturday,2024-10-05_St. Cloud State_Minnesota
2024-10-05,Exhibition,,Augustana,/reports/team/Augustana/64,,North Dakota,/reports/team/North-Dakota/40,,,,,Saturday,2024-10-05_North Dakota_Augustana
2024-10-06,Non-Conference,,Army,/reports/team/Army/6,,Union,/reports/team/Union/54,,,,,Sunday,2024-10-06_Union_Army
2024-10-06,Non-Conference,,Penn State,/reports/team/Penn-State/60,,Alaska,/reports/team/Alaska/4,,,,,Sunday,2024-10-06_Alaska_Penn State
2024-10-06,Non-Conference,,Canisius,/reports/team/Canisius/13,,St. Lawrence,/reports/team/St-Lawrence/53,,,,,Sunday,2024-10-06_St. Lawrence_Canisius
2024-10-06,Non-Conference,,Colgate,/reports/team/Colgate/15,,Connecticut,/reports/team/Connecticut/17,,,,,Sunday,2024-10-06_Connecticut_Colgate
2024-10-06,Non-Conference,,RIT,/reports/team/RIT/49,,Clarkson,/reports/team/Clarkson/14,,,,,Sunday,2024-10-06_Clarkson_RIT
2024-10-06,Non-Conference,,Bowling Green,/reports/team/Bowling-Green/11,,Mercyhurst,/reports/team/Mercyhurst/28,,,,,Sunday,2024-10-06_Mercyhurst_Bowling Green
2024-10-06,Non-Conference,,Denver,/reports/team/Denver/20,,Alaska-Anchorage,/reports/team/Alaska-Anchorage/3,,,,,Sunday,2024-10-06_Alaska-Anchorage_Denver
2024-10-06,Non-Conference,,Miami,/reports/team/Miami/30,,Ferris State,/reports/team/Ferris-State/21,,,,,Sunday,2024-10-06_Ferris State_Miami
2024-10-06,Non-Conference,,St. Cloud State,/reports/team/St-Cloud-State/52,,St. Thomas,/reports/team/St-Thomas/63,,,,,Sunday,2024-10-06_St. Thomas_St. Cloud State
2024-10-06,Exhibition,,Northeastern,/reports/team/Northeastern/41,,Quinnipiac,/reports/team/Quinnipiac/47,,,,,Sunday,2024-10-06_Quinnipiac_Northeastern
2024-10-06,Exhibition,,Niagara,/reports/team/Niagara/39,,Ohio State,/reports/team/Ohio-State/44,,,,,Sunday,2024-10-06_Ohio State_Niagara
2024-10-06,Exhibition,,Rensselaer,/reports/team/Rensselaer/48,,Massachusetts,/reports/team/Massachusetts/27,,,,,Sunday,2024-10-06_Massachusetts_Rensselaer
2024-10-06,Exhibition,,US Under-18,,,Notre Dame,/reports/team/Notre-Dame/43,,,,,Sunday,2024-10-06_Notre Dame_US Under-18
2024-10-06,Exhibition,,Manitoba,,,Minnesota-Duluth,/reports/team/Minnesota-Duluth/36,,,,,Sunday,2024-10-06_Minnesota-Duluth_Manitoba
2024-10-06,Exhibition,,Mass.-Lowell,/reports/team/Mass-Lowell/26,,Bentley,/reports/team/Bentley/8,,,,,Sunday,2024-10-06_Bentley_Mass.-Lowell
2024-10-06,Exhibition,,Simon Fraser,,,Sacred Heart,/reports/team/Sacred-Heart/51,,,,,Sunday,2024-10-06_Sacred Heart_Simon Fraser
2024-10-06,Exhibition,,McGill,,,Vermont,/reports/team/Vermont/55,,,,,Sunday,2024-10-06_Vermont_McGill
2024-10-10,Exhibition,,Robert Morris,/reports/team/Robert-Morris/50,,Bowling Green,/reports/team/Bowling-Green/11,,,,,Thursday,2024-10-10_Bowling Green_Robert Morris
2024-10-11,"Ice Breaker (at Orleans Arena, Paradise, Nev.)",,Omaha,/reports/team/Omaha/37,,Massachusetts,/reports/team/Massachusetts/27,,,,,Friday,2024-10-11_Massachusetts_Omaha
