Date,Conference,Game_Notes,Away_Team,Away_Team_Link,Away_Score,Home_Team,Home_Team_Link,Home_Score,OT,Box_Link,Metrics_Link,Day,Game_ID
2024-10-04,Non-Conference,,Michigan State,/reports/team/Michigan-State/32,2,Lake Superior,/reports/team/Lake-Superior/24,1,ot,/box/final/20241004/msu/lss/,/box/metrics.php?gd=100540,Friday,2024-10-04_Lake Superior_Michigan State
2024-10-04,Non-Conference,,Minnesota State,/reports/team/Minnesota-State/35,5,Michigan,/reports/team/Michigan/31,2,,/box/final/20241004/mns/mic/,/box/metrics.php?gd=100317,Friday,2024-10-04_Michigan_Minnesota State
2024-10-04,Non-Conference,,Arizona State,/reports/team/Arizona-State/61,8,Air Force,/reports/team/Air-Force/1,1,,/box/final/20241004/asu/afa/,/box/metrics.php?gd=99879,Friday,2024-10-04_Air Force_Arizona State
2024-10-04,Non-Conference,,Bowling Green,/reports/team/Bowling-Green/11,2,Mercyhurst,/reports/team/Mercyhurst/28,1,,/box/final/20241004/bgs/mrc/,/box/metrics.php?gd=100386,Friday,2024-10-04_Mercyhurst_Bowling Green
2024-10-04,Non-Conference,,Colgate,/reports/team/Colgate/15,2,Connecticut,/reports/team/Connecticut/17,4,,/box/final/20241004/clg/con/,/box/metrics.php?gd=100832,Friday,2024-10-04_Connecticut_Colgate
2024-10-04,Non-Conference,,Miami,/reports/team/Miami/30,3,Ferris State,/reports/team/Ferris-State/21,3,ot,/box/final/20241004/mia/fsu/,/box/metrics.php?gd=99983,Friday,2024-10-04_Ferris State_Miami
2024-10-04,Exhibition,,US Under 18,,2,Notre Dame,/reports/team/Notre-Dame/43,5,,/box/final/20241004/u18/ndm/,,Friday,2024-10-04_Notre Dame_US Under-18
2024-10-05,Exhibition,,Stonehill,/reports/team/Stonehill/422,1,New Hampshire,/reports/team/New-Hampshire/38,4,,/box/final/20241005/stn/unh/,,Saturday,2024-10-05_New Hampshire_Stonehill
2024-10-05,Exhibition,,Providence,/reports/team/Providence/46,4,Union,/reports/team/Union/54,1,,/box/final/20241005/prv/uni/,,Saturday,2024-10-05_Union_Providence
2024-10-05,Exhibition,,Manitoba,,2,St Thomas,/reports/team/St-Thomas/63,4,,/box/final/20241005/mtb/stt/,,Saturday,2024-10-05_St. Thomas_Manitoba
2024-10-05,Exhibition,,Sacred Heart,/reports/team/Sacred-Heart/51,2,Merrimack,/reports/team/Merrimack/29,3,,/box/final/20241005/sac/mer/,,Saturday,2024-10-05_Merrimack_Sacred Heart
2024-10-05,Exhibition,,Briercrest,,0,Colorado College,/reports/team/Colorado-College/16,8,,/box/final/20241005/bri/cc_/,,Saturday,2024-10-05_Colorado College_Briercrest
2024-10-05,Exhibition,,Minnesota,/reports/team/Minnesota/34,5,St Cloud State,/reports/team/St-Cloud-State/52,1,,/box/final/20241005/min/stc/,,Saturday,2024-10-05_St. Cloud State_Minnesota
2024-10-05,Exhibition,,US Under 18,,1,Western Michigan,/reports/team/Western-Michigan/57,4,,/box/final/20241005/u18/wmu/,,Saturday,2024-10-05_Western Michigan_US Under-18
2024-10-05,Exhibition,,Northern Michigan,/reports/team/Northern-Michigan/42,3,Michigan Tech,/reports/team/Michigan-Tech/33,4,,/box/final/20241005/nmu/mtu/,,Saturday,2024-10-05_Michigan Tech_Northern Michigan
2024-10-05,Exhibition,,Wisconsin,/reports/team/Wisconsin/58,3,Omaha,/reports/team/Omaha/37,2,ot,/box/final/20241005/wis/uno/,,Saturday,2024-10-05_Omaha_Wisconsin
2024-10-05,Exhibition,,Augustana,/reports/team/Augustana/64,4,North Dakota,/reports/team/North-Dakota/40,1,,/box/final/20241005/aug/ndk/,,Saturday,2024-10-05_North Dakota_Augustana
2024-10-05,Exhibition,,Simon Fraser,,5,Long Island,/reports/team/Long-Island/62,7,,/box/final/20241005/sfr/liu/,,Saturday,2024-10-05_Long Island_Simon Fraser
2024-10-05,Non-Conference,,Michigan State,/reports/team/Michigan-State/32,5,Lake Superior,/reports/team/Lake-Superior/24,1,,/box/final/20241005/msu/lss/,/box/metrics.php?gd=100539,Saturday,2024-10-05_Lake Superior_Michigan State
2024-10-05,Non-Conference,,Bemidji State,/reports/team/Bemidji-State/7,4,Minnesota Duluth,/reports/team/Minnesota-Duluth/36,3,ot,/box/final/20241005/bmj/mnd/,/box/metrics.php?gd=100048,Saturday,2024-10-05_Minnesota-Duluth_Bemidji State
2024-10-05,Non-Conference,,Denver,/reports/team/Denver/20,6,Alaska Anchorage,/reports/team/Alaska-Anchorage/3,2,,/box/final/20241005/den/aka/,/box/metrics.php?gd=100075,Saturday,2024-10-05_Alaska-Anchorage_Denver
2024-10-05,Non-Conference,,Minnesota State,/reports/team/Minnesota-State/35,1,Michigan,/reports/team/Michigan/31,4,,/box/final/20241005/mns/mic/,/box/metrics.php?gd=100316,Saturday,2024-10-05_Michigan_Minnesota State
2024-10-05,Non-Conference,,Holy Cross,/reports/team/Holy-Cross/23,2,Boston University,/reports/team/Boston-University/10,5,,/box/final/20241005/hcr/bu_/,/box/metrics.php?gd=99946,Saturday,2024-10-05_Boston University_Holy Cross
2024-10-05,Non-Conference,,Canisius,/reports/team/Canisius/13,1,Clarkson,/reports/team/Clarkson/14,2,,/box/final/20241005/cns/clk/,/box/metrics.php?gd=100100,Saturday,2024-10-05_Clarkson_Canisius
2024-10-05,Non-Conference,,American Intl,/reports/team/American-Intl/5,0,Maine,/reports/team/Maine/25,6,,/box/final/20241005/aic/mne/,/box/metrics.php?gd=100451,Saturday,2024-10-05_Maine_American Int'l
2024-10-05,Non-Conference,,RIT,/reports/team/RIT/49,2,St Lawrence,/reports/team/St-Lawrence/53,3,ot,/box/final/20241005/rit/stl/,/box/metrics.php?gd=100286,Saturday,2024-10-05_St. Lawrence_RIT
2024-10-05,Non-Conference,,Massachusetts,/reports/team/Massachusetts/27,5,Bentley,/reports/team/Bentley/8,4,,/box/final/20241005/uma/ben/,/box/metrics.php?gd=100012,Saturday,2024-10-05_Bentley_Massachusetts
2024-10-05,Non-Conference,,Arizona State,/reports/team/Arizona-State/61,3,Air Force,/reports/team/Air-Force/1,4,ot,/box/final/20241005/asu/afa/,/box/metrics.php?gd=99878,Saturday,2024-10-05_Air Force_Arizona State
