Date,Home_Team,Away_Team,game_id_number
2024/10/04,Michigan St.,Lake Superior St.,6344272
2024/10/04,Minnesota St.,Michigan,6344249
2024/10/04,Bowling Green,Mercyhurst,6344336
2024/10/04,Colgate,UConn,6344337
2024/10/04,Miami (OH),Ferris St.,6344354
2024/10/04,Arizona St.,Air Force,6344335
2024/10/05,Michigan St.,Lake Superior St.,6344273
2024/10/05,Minnesota St.,Michigan,6344250
2024/10/05,Bemidji St.,Minn. Duluth,6344341
2024/10/05,Massachusetts,Bentley,6344346
2024/10/05,RIT,St. Lawrence,6344347
2024/10/05,Canisius,Clarkson,6344348
2024/10/05,American Int'l,Maine,6344349
2024/10/05,Holy Cross,Boston U.,6344350
2024/10/05,Bowling Green,Mercyhurst,6344351
2024/10/05,Colgate,UConn,6344353
2024/10/05,Miami (OH),Ferris St.,6344368
2024/10/05,Arizona St.,Air Force,6344352
2024/10/05,Denver,Alas. Anchorage,6344343
2024/10/05,Penn St.,Alas. Fairbanks,6344179
2024/10/06,Canisius,St. Lawrence,6344359
2024/10/06,RIT,Clarkson,6344362
2024/10/06,Army West Point,Union (NY),6344363
2024/10/06,Stonehill,Merrimack,6344365
2024/10/06,St. Cloud St.,St. Thomas (MN),6344367
2024/10/06,Denver,Alas. Anchorage,6344366
2024/10/06,Penn St.,Alas. Fairbanks,6344180
2024/10/11,Boston College,Michigan St.,6344274
2024/10/11,Michigan,Arizona St.,6344251
2024/10/11,Niagara,Clarkson,6344374
2024/10/11,Rensselaer,Canisius,6344371
2024/10/11,UConn,Holy Cross,6344372
2024/10/11,RIT,Mercyhurst,6344373
2024/10/11,American Int'l,Ohio St.,6344289
2024/10/11,Union (NY),Stonehill,6344375
2024/10/11,Ferris St.,Western Mich.,6344376
2024/10/11,Sacred Heart,Colgate,6344378
2024/10/11,Massachusetts,Omaha,6344380
2024/10/11,Notre Dame,St. Lawrence,6345273
2024/10/11,Alas. Anchorage,Miami (OH),6344381
2024/10/11,Alas. Fairbanks,Michigan Tech,6344384
2024/10/11,Minn. Duluth,UMass Lowell,6344385
2024/10/11,Lindenwood,Wisconsin,6344205
2024/10/11,Vermont,St. Thomas (MN),6344377
2024/10/11,Merrimack,Minnesota St.,6344382
2024/10/11,LIU,Augustana (SD),6344383
2024/10/11,Bemidji St.,St. Cloud St.,6344386
2024/10/11,Northern Mich.,Colorado Col.,6344379
2024/10/11,Air Force,Minnesota,6344218
2024/10/12,Holy Cross,UConn,6344388
2024/10/12,RIT,Mercyhurst,6344389
2024/10/12,Sacred Heart,Colgate,6344390
2024/10/12,American Int'l,Ohio St.,6344290
2024/10/12,Rensselaer,Canisius,6344392
2024/10/12,Boston College,Michigan St.,6344275
2024/10/12,Minn. Duluth,UMass Lowell,6344395
2024/10/12,Alas. Fairbanks,Michigan Tech,6344400
2024/10/12,Penn St.,Quinnipiac,6344181
2024/10/12,Lindenwood,Wisconsin,6344206
2024/10/12,Vermont,St. Thomas (MN),6344393
2024/10/12,Niagara,St. Lawrence,6344401
2024/10/12,Stonehill,Northeastern,6344402
2024/10/12,Western Mich.,Ferris St.,6344405
2024/10/12,Bentley,New Hampshire,6344406
2024/10/12,Notre Dame,Clarkson,6345274
