Date,Home_Team,Away_Team,game_id_number
2023/10/07,Lake Superior St.,Michigan St.,6193313
2023/10/07,Clarkson,Notre Dame,6194265
2023/10/07,RIT,St. Lawrence,6193410
2023/10/07,Ohio St.,Mercyhurst,6194291
2023/10/07,Penn St.,LIU,6193374
2023/10/07,Providence,Michigan,6193347
2023/10/07,American Int'l,Massachusetts,6194383
2023/10/07,UConn,Colgate,6193414
2023/10/07,Boston College,Quinnipiac,6193413
2023/10/07,Stonehill,Northeastern,6193412
2023/10/07,St. Thomas (MN),St. Cloud St.,6193408
2023/10/07,Bowling Green,Robert Morris,6193415
2023/10/07,Boston U.,Bentley,6194369
2023/10/07,Lindenwood,Air Force,6193407
2023/10/07,Miami (OH),Ferris St.,6193416
2023/10/07,Augustana (SD),Wisconsin,6194311
2023/10/07,Michigan Tech,Minn. Duluth,6193417
2023/10/07,UMass Lowell,Alas. Anchorage,6194278
2023/10/07,Denver,Alas. Fairbanks,6193405
2023/10/08,Union (NY),Army West Point,6193419
2023/10/08,UConn,Colgate,6193420
2023/10/08,Lake Superior St.,Michigan St.,6193314
2023/10/08,Providence,Michigan,6193348
2023/10/08,St. Cloud St.,St. Thomas (MN),6193421
2023/10/08,Clarkson,Notre Dame,6194266
2023/10/08,Robert Morris,Bowling Green,6193426
2023/10/08,Miami (OH),Ferris St.,6193427
2023/10/08,Augustana (SD),Wisconsin,6194312
2023/10/08,LIU,Holy Cross,6193418
2023/10/08,Lindenwood,Air Force,6193425
2023/10/08,UMass Lowell,Alas. Anchorage,6194279
2023/10/08,Denver,Alas. Fairbanks,6193424
2023/10/12,Ferris St.,Western Mich.,6193429
2023/10/12,Rensselaer,Maine,6193430
2023/10/12,Michigan St.,Air Force,6193315
2023/10/13,Stonehill,Providence,6193433
2023/10/13,Vermont,St. Lawrence,6193434
2023/10/13,Colgate,Sacred Heart,6193435
2023/10/13,UConn,Holy Cross,6193436
2023/10/13,Rensselaer,Maine,6193437
2023/10/13,LIU,Boston College,6193440
2023/10/13,Lindenwood,Ohio St.,6194292
2023/10/13,Michigan,Massachusetts,6193349
2023/10/13,Penn St.,Clarkson,6193375
2023/10/13,Canisius,Miami (OH),6193432
2023/10/13,Quinnipiac,American Int'l,6193442
2023/10/13,Western Mich.,Ferris St.,6193447
2023/10/13,Alas. Fairbanks,Michigan Tech,6193446
2023/10/13,Alas. Anchorage,Lake Superior St.,6193443
2023/10/13,Boston U.,New Hampshire,6193439
2023/10/13,Army West Point,North Dakota,6193441
2023/10/13,Wisconsin,Bemidji St.,6194313
2023/10/13,Minnesota St.,St. Cloud St.,6193444
2023/10/13,Niagara,Omaha,6193445
2023/10/13,Northern Mich.,Minn. Duluth,6193448
2023/10/13,Minnesota,St. Thomas (MN),6194328
2023/10/13,Union (NY),Colorado Col.,6193438
2023/10/13,Michigan St.,Air Force,6193316
2023/10/13,Merrimack,Arizona St.,6193431
2023/10/14,Robert Morris,Mercyhurst,6193451
2023/10/14,LIU,Stonehill,6193452
2023/10/14,Lindenwood,Ohio St.,6195469
2023/10/14,Alas. Anchorage,Lake Superior St.,6193455
2023/10/14,Alas. Fairbanks,Michigan Tech,6193458
2023/10/14,American Int'l,Quinnipiac,6193463
2023/10/14,Penn St.,St. Lawrence,6193376
2023/10/14,Michigan,Massachusetts,6193350
2023/10/14,St. Thomas (MN),Minnesota,6194329
2023/10/14,Vermont,Clarkson,6193462
2023/10/14,Holy Cross,UConn,6193461
2023/10/14,Bentley,Northeastern,6193460
2023/10/14,Colgate,Sacred Heart,6193459
2023/10/14,Army West Point,Bemidji St.,6193454
2023/10/14,Canisius,Miami (OH),6193450
2023/10/14,Notre Dame,RIT,6194267
2023/10/14,Bowling Green,Augustana (SD),6193456
2023/10/14,St. Cloud St.,Minnesota St.,6193457
2023/10/14,Wisconsin,North Dakota,6193401
2023/10/14,Merrimack,Arizona St.,6193449
2023/10/14,Union (NY),Colorado Col.,6193453
2023/10/14,Niagara,Omaha,6193465
2023/10/14,Northern Mich.,Minn. Duluth,6193466
2023/10/15,Bowling Green,Augustana (SD),6193467
2023/10/19,Canisius,Michigan St.,6193317
2023/10/20,Ohio St.,Michigan,6193351
2023/10/20,Rensselaer,Boston College,6193476
2023/10/20,Denver,Providence,6193470
2023/10/20,Canisius,Michigan St.,6193318
2023/10/20,Wisconsin,Michigan Tech,6194314
2023/10/20,Boston U.,Notre Dame,6194268
2023/10/20,American Int'l,Penn St.,6193377
2023/10/20,Holy Cross,Robert Morris,6193475
2023/10/20,Quinnipiac,New Hampshire,6193474
2023/10/20,UMass Lowell,Colgate,6193473
2023/10/20,UConn,Union (NY),6193472
2023/10/20,Clarkson,Merrimack,6193471
2023/10/20,Sacred Heart,RIT,6193477
2023/10/20,Stonehill,Bentley,6193478
2023/10/20,Western Mich.,Bowling Green,6193481
2023/10/20,Minnesota,North Dakota,6194330
2023/10/20,Massachusetts,Minnesota St.,6193479
2023/10/20,Lindenwood,St. Thomas (MN),6193480
2023/10/20,Bemidji St.,Minn. Duluth,6193483
2023/10/20,Alas. Fairbanks,St. Cloud St.,6193484
2023/10/20,LIU,Colorado Col.,6193468
2023/10/20,Northern Mich.,Arizona St.,6193469
2023/10/20,Air Force,Alas. Anchorage,6193482
2023/10/21,Minn. Duluth,Bemidji St.,6193486
2023/10/21,UConn,Union (NY),6193487
2023/10/21,Holy Cross,Robert Morris,6193488
2023/10/21,American Int'l,Penn St.,6193378
2023/10/21,Sacred Heart,RIT,6193489
2023/10/21,Bowling Green,Western Mich.,6193492
2023/10/21,Boston U.,Notre Dame,6194269
2023/10/21,Wisconsin,Michigan Tech,6194315
2023/10/21,Stonehill,Bentley,6193494
2023/10/21,Mercyhurst,Niagara,6193502
2023/10/21,Ohio St.,Michigan,6193352
2023/10/21,Minnesota,North Dakota,6194331
2023/10/21,UMass Lowell,Colgate,6193499
2023/10/21,Denver,Boston College,6193501
2023/10/21,Quinnipiac,New Hampshire,6193500
2023/10/21,Rensselaer,Providence,6193498
2023/10/21,Alas. Fairbanks,St. Cloud St.,6193491
2023/10/21,Massachusetts,Minnesota St.,6193496
2023/10/21,Lindenwood,St. Thomas (MN),6193497
2023/10/21,LIU,Colorado Col.,6193485
2023/10/21,Northern Mich.,Arizona St.,6193493
2023/10/21,Air Force,Alas. Anchorage,6193490
2023/10/22,St. Lawrence,Merrimack,6193503
2023/10/26,Northeastern,New Hampshire,6193504
2023/10/26,Michigan St.,Boston College,6193319
2023/10/26,Alas. Anchorage,Penn St.,6193379
2023/10/26,Mercyhurst,Notre Dame,6194270
2023/10/26,Wisconsin,Minnesota,6194316
2023/10/27,Vermont,Providence,6193505
2023/10/27,Michigan Tech,St. Lawrence,6193506
2023/10/27,Niagara,Sacred Heart,6193507
2023/10/27,Minn. Duluth,Cornell,6193508
2023/10/27,Lake Superior St.,Clarkson,6193510
2023/10/27,Maine,Quinnipiac,6193511
2023/10/27,Harvard,Dartmouth,6193512
2023/10/27,Michigan St.,Boston College,6193320
2023/10/27,Massachusetts,Boston U.,6194358
2023/10/27,Bentley,Robert Morris,6194370
2023/10/27,Lindenwood,Michigan,6193354
2023/10/27,Alas. Anchorage,Penn St.,6193380
2023/10/27,RIT,Holy Cross,6193514
2023/10/27,Arizona St.,Miami (OH),6194342
2023/10/27,Ferris St.,Northern Mich.,6193516
2023/10/27,UConn,UMass Lowell,6193519
2023/10/27,Mercyhurst,Notre Dame,6194271
2023/10/27,Yale,Brown,6193520
2023/10/27,St. Thomas (MN),Bemidji St.,6193517
2023/10/27,Minnesota St.,North Dakota,6193518
2023/10/27,Ohio St.,Omaha,6194293
2023/10/27,Wisconsin,Minnesota,6195554
2023/10/27,Augustana (SD),Denver,6193509
2023/10/27,Colorado Col.,Air Force,6193515
2023/10/28,Bentley,Robert Morris,6194371
2023/10/28,UMass Lowell,UConn,6193522
2023/10/28,Niagara,Sacred Heart,6193523
2023/10/28,Vermont,Providence,6193529
2023/10/28,Ferris St.,Northern Mich.,6193526
2023/10/28,Dartmouth,New Hampshire,6193533
2023/10/28,Lindenwood,Michigan,6193355
2023/10/28,Boston U.,Massachusetts,6194359
2023/10/28,Maine,Quinnipiac,6193532
2023/10/28,Minn. Duluth,Cornell,6193531
2023/10/28,Lake Superior St.,St. Lawrence,6193530
2023/10/28,Merrimack,Northeastern,6193521
