Period,Time,Team,Description,Score
1,0,,"Faceoff Stramel, Charlie vs Estapa, Mark won by MICHST.",
1,0,,Trey Augustine at goalie for Michigan St.,
1,0,,Logan Stein at goalie for Michigan,
1,25,,"Shot by MICH Edwards, Ethan MISSED, save Augustine, Trey.",
1,89,,Start power play for MICH.,
1,89,,"Faceoff Hughes, T.j. vs Stramel, Charlie won by MICH.",
1,89,,"Penalty on Shoudy, Tiernan MICHST 2 minutes for CrossChecking.",
1,149,,"Faceoff Stramel, Charlie vs Estapa, Mark won by MICHST.",
1,200,,"Faceoff Draper, Kienan vs Stramel, Charlie won by MICH.",
1,204,,"Shot by MICH Rheaume-mullen, Dakoda MISSED, save Augustine, Trey.",
1,205,,"Faceoff Draper, Kienan vs Stramel, Charlie won by MICH.",
1,209,,End power play for MICH.,
1,245,,"Shot by MICHST Stramel, Charlie BLOCKED by Rheaume-mullen, Dakoda.",
1,268,,"Faceoff Hughes, T.j. vs Deangelo, Mikey won by MICH.",
1,323,,"Shot by MICHST Å trbãk, Maxim BLOCKED by Estapa, Mark.",
1,328,,"Faceoff Stramel, Charlie vs Draper, Kienan won by MICHST.",
1,328,,Start power play for MICHST.,
1,328,,"Penalty on Estapa, Mark MICH 2 minutes for Tripping.",
1,336,,End power play for MICHST.,
1,336,,"Goal by Basgall, Matt (POWER-PLAY, FIRST GOAL) Assist by: Stramel, Charlie, On ice for MICHST: Matt Basgall; Isaac Howard; Patrick Geary; Trey Augustine; Maxim Å trbÃ¡k; Charlie Stramel; Daniel Russell; Karsen Dorwart MICH: Tyler Duke; Philippe Lapointe; Josh Eernisse; T.J. Hughes; Ethan Edwards; Mark Estapa; Logan Stein; Kienan Draper",0-1
1,336,,"Faceoff Stramel, Charlie vs Draper, Kienan won by MICHST.",
1,367,,"Faceoff Dorwart, Karsen vs Hage, Michael won by MICHST.",
1,449,,"Faceoff Estapa, Mark vs Deangelo, Mikey won by MICH.",
1,466,,"Faceoff Stramel, Charlie vs Hage, Michael won by MICHST.",
1,466,,"Penalty on Fantilli, Luca MICH 2 minutes for CrossChecking.",
1,466,,"Penalty on Vansaghi, Shane MICHST 2 minutes for CrossChecking.",
1,487,,"Shot by MICHST Basgall, Matt MISSED, save Stein, Logan.",
1,487,,"Faceoff Hughes, T.j. vs Dorwart, Karsen won by MICH.",
1,556,,"Shot by MICH Edwards, Ethan BLOCKED by Shoudy, Tiernan.",
1,564,,"Shot by MICHST Larson, Joey MISSED, save Stein, Logan.",
1,587,,"Shot by MICH Whitelaw, William WIDE.",
1,605,,"Shot by MICH Draper, Kienan WIDE.",
