Team,goals1,goals2,goals3,goals4,goalsT,shots1,shots2,shots3,shots4,shotsT,Pen,PIM,PPG,PPO,FOW,FOL,FOW%,goals5,goals6,shots5,shots6,Game_ID
Michigan State,1,0,0,1,2,6,7,25,1,39,4,11,0,3,15,30,33.3333333333333,0,0,0,0,2024-10-04-Michigan State-Lake Superior
Lake Superior,1,0,0,0,1,10,11,5,0,26,3,6,0,4,30,15,66.6666666666667,0,0,0,0,2024-10-04-Michigan State-Lake Superior
Minnesota State,0,2,3,0,5,4,11,8,0,23,3,6,0,3,21,40,34.4262295081967,0,0,0,0,2024-10-04-Minnesota State-Michigan
Michigan,0,1,1,0,2,13,12,9,0,34,4,8,1,2,40,21,65.5737704918033,0,0,0,0,2024-10-04-Minnesota State-Michigan
Arizona State,2,2,4,0,8,9,4,11,0,24,6,12,2,2,23,36,38.9830508474576,0,0,0,0,2024-10-04-Arizona State-Air Force
Air Force,0,1,0,0,1,7,12,9,0,28,2,4,0,6,36,23,61.0169491525424,0,0,0,0,2024-10-04-Arizona State-Air Force
Bowling Green,1,1,0,0,2,7,15,5,0,27,7,14,1,5,43,25,63.2352941176471,0,0,0,0,2024-10-04-Bowling Green-Mercyhurst
Mercyhurst,0,1,0,0,1,9,12,12,0,33,5,10,0,7,25,43,36.7647058823529,0,0,0,0,2024-10-04-Bowling Green-Mercyhurst
Colgate,1,0,1,0,2,5,9,10,0,24,4,8,0,3,22,27,44.8979591836735,0,0,0,0,2024-10-04-Colgate-Connecticut
Connecticut,1,2,1,0,4,13,15,10,0,38,3,6,1,4,27,22,55.1020408163265,0,0,0,0,2024-10-04-Colgate-Connecticut
Miami,1,1,1,0,3,11,10,5,4,30,4,19,1,4,41,27,60.2941176470588,0,0,0,0,2024-10-04-Miami-Ferris State
Ferris State,0,1,2,0,3,13,5,10,9,37,5,10,0,2,27,41,39.7058823529412,0,0,0,0,2024-10-04-Miami-Ferris State
Michigan State,0,3,2,0,5,21,12,14,0,47,6,12,0,3,38,30,55.8823529411765,0,0,0,0,2024-10-05-Michigan State-Lake Superior
Lake Superior,0,0,1,0,1,7,5,14,0,26,5,10,0,4,30,38,44.1176470588235,0,0,0,0,2024-10-05-Michigan State-Lake Superior
Bemidji State,1,2,0,1,4,9,9,4,1,23,4,8,0,1,24,43,35.8208955223881,0,0,0,0,2024-10-05-Bemidji State-Minnesota Duluth
Minnesota Duluth,1,1,1,0,3,10,11,14,5,40,1,2,1,4,43,24,64.1791044776119,0,0,0,0,2024-10-05-Bemidji State-Minnesota Duluth
Denver,2,3,1,0,6,12,10,16,0,38,2,4,4,9,42,24,63.6363636363636,0,0,0,0,2024-10-05-Denver-Alaska Anchorage
Alaska Anchorage,1,0,1,0,2,4,2,6,0,12,8,27,1,2,24,42,36.3636363636364,0,0,0,0,2024-10-05-Denver-Alaska Anchorage
Minnesota State,0,0,1,0,1,9,11,5,0,25,6,12,0,4,26,33,44.0677966101695,0,0,0,0,2024-10-05-Minnesota State-Michigan
Michigan,2,0,2,0,4,9,4,5,0,18,5,10,0,5,33,26,55.9322033898305,0,0,0,0,2024-10-05-Minnesota State-Michigan
Holy Cross,0,1,1,0,2,9,10,12,0,31,13,37,1,5,27,41,39.7058823529412,0,0,0,0,2024-10-05-Holy Cross-Boston University
Boston University,0,4,1,0,5,6,22,9,0,37,12,46,1,4,41,27,60.2941176470588,0,0,0,0,2024-10-05-Holy Cross-Boston University
Canisius,0,1,0,0,1,8,9,8,0,25,2,4,0,3,23,30,43.3962264150943,0,0,0,0,2024-10-05-Canisius-Clarkson
Clarkson,1,1,0,0,2,15,6,7,0,28,3,6,0,2,30,23,56.6037735849057,0,0,0,0,2024-10-05-Canisius-Clarkson
American Intl,0,0,0,0,0,2,6,9,0,17,5,21,0,2,26,32,44.8275862068966,0,0,0,0,2024-10-05-American Int'l-Maine
