Team,Times_Pulled_Goalie,Opponent_Pulled_Goalie,Total_Time_Pulled_Seconds,Opponent_Time_Pulled_Seconds,EN_goals_for,EA_goals_for,EN_goals_against,EA_goals_against,Raw_Times_Pulled,Raw_Opponent_Pulled
Air Force,6,9,1265.0,1094.0,3.0,2.0,4.0,1.0,12,14
Alaska,4,5,1053.0,800.0,2.0,3.0,5.0,2.0,10,13
Alaska Anchorage,9,4,1416.0,848.0,6.0,2.0,2.0,3.0,12,18
American Intl,9,4,996.0,527.0,1.0,1.0,0.0,0.0,12,9
Arizona State,5,7,884.0,1164.0,4.0,4.0,3.0,2.0,9,18
Army,9,4,841.0,622.0,1.0,0.0,8.0,0.0,14,17
Augustana,5,7,737.0,1045.0,5.0,1.0,0.0,1.0,11,18
Bemidji State,7,5,1210.0,571.0,1.0,3.0,3.0,3.0,11,15
Bentley,5,11,640.0,1404.0,7.0,0.0,3.0,2.0,11,17
Boston College,3,9,418.0,674.0,5.0,2.0,2.0,1.0,7,12
Boston University,3,6,530.0,887.0,2.0,2.0,1.0,1.0,8,14
Bowling Green,3,8,270.0,920.0,2.0,0.0,0.0,4.0,9,24
Brown,9,3,1143.0,334.0,2.0,1.0,5.0,1.0,11,10
Canisius,8,5,914.0,574.0,3.0,1.0,4.0,0.0,12,22
Clarkson,5,9,657.0,1314.0,5.0,1.0,3.0,1.0,8,18
Colgate,5,8,845.0,1115.0,2.0,0.0,0.0,0.0,15,24
Colorado College,6,4,957.0,814.0,1.0,2.0,2.0,4.0,13,10
Connecticut,6,7,697.0,1354.0,4.0,0.0,2.0,2.0,10,18
Cornell,4,4,822.0,517.0,4.0,0.0,3.0,1.0,7,13
Dartmouth,6,7,813.0,819.0,2.0,1.0,2.0,2.0,10,14
Denver,5,8,902.0,733.0,4.0,2.0,1.0,0.0,14,14
Ferris State,9,6,868.0,543.0,0.0,1.0,2.0,0.0,10,15
Harvard,5,4,745.0,491.0,2.0,2.0,3.0,0.0,8,9
Holy Cross,7,6,808.0,363.0,3.0,0.0,2.0,0.0,9,11
Lake Superior,7,6,536.0,994.0,2.0,0.0,2.0,0.0,12,12
Lindenwood,11,4,1198.0,498.0,0.0,0.0,0.0,0.0,14,13
Long Island,5,7,915.0,742.0,3.0,0.0,3.0,3.0,8,17
Maine,4,8,600.0,855.0,1.0,0.0,2.0,1.0,11,19
Mass Lowell,4,8,291.0,786.0,2.0,1.0,0.0,0.0,7,14
Massachusetts,7,4,1237.0,732.0,2.0,4.0,5.0,1.0,13,11
Mercyhurst,12,1,1161.0,99.0,1.0,1.0,8.0,0.0,13,5
Merrimack,4,7,543.0,901.0,4.0,0.0,4.0,1.0,12,20
Miami,8,2,797.0,364.0,1.0,0.0,3.0,1.0,11,11
Michigan,3,7,370.0,1315.0,4.0,0.0,3.0,2.0,9,19
Michigan State,1,10,119.0,1353.0,3.0,0.0,1.0,3.0,9,20
Michigan Tech,5,8,661.0,834.0,3.0,1.0,4.0,0.0,11,20
Minnesota,2,9,331.0,954.0,7.0,1.0,3.0,1.0,9,17
Minnesota Duluth,4,4,609.0,428.0,1.0,2.0,3.0,0.0,10,11
Minnesota State,5,9,474.0,720.0,3.0,0.0,2.0,0.0,10,16
New Hampshire,4,5,435.0,628.0,2.0,0.0,2.0,0.0,8,14
Niagara,6,5,1390.0,763.0,2.0,2.0,1.0,0.0,9,13
North Dakota,8,7,1265.0,711.0,2.0,4.0,4.0,1.0,11,10
Northeastern,5,4,523.0,536.0,2.0,0.0,4.0,0.0,8,10
Northern Michigan,13,2,986.0,387.0,0.0,1.0,8.0,1.0,16,23
Notre Dame,11,4,1292.0,417.0,3.0,2.0,4.0,0.0,13,13
Ohio State,4,9,550.0,903.0,3.0,1.0,2.0,0.0,10,20
Omaha,8,5,905.0,371.0,2.0,1.0,1.0,1.0,10,8
Penn State,6,5,841.0,692.0,1.0,1.0,3.0,0.0,13,19
Princeton,4,4,427.0,624.0,0.0,0.0,0.0,0.0,9,11
Providence,1,8,261.0,1167.0,3.0,2.0,1.0,2.0,7,17
Quinnipiac,4,9,704.0,1116.0,4.0,2.0,2.0,0.0,10,19
RIT,9,2,1027.0,944.0,2.0,0.0,3.0,2.0,13,21
Rensselaer,5,7,706.0,647.0,7.0,0.0,2.0,2.0,9,16
Robert Morris,4,6,434.0,887.0,8.0,1.0,1.0,1.0,6,10
Sacred Heart,4,9,314.0,1174.0,5.0,2.0,3.0,1.0,9,21
St Cloud State,5,8,478.0,1116.0,1.0,0.0,0.0,0.0,9,17
St Lawrence,8,3,1776.0,363.0,0.0,3.0,0.0,0.0,14,12
St Thomas,8,5,837.0,530.0,4.0,0.0,0.0,0.0,13,25
Stonehill,9,3,501.0,493.0,4.0,2.0,2.0,0.0,13,16
Union,7,9,1193.0,1403.0,6.0,0.0,2.0,2.0,9,21
Vermont,6,3,685.0,781.0,5.0,1.0,3.0,3.0,12,15
Western Michigan,3,6,382.0,840.0,3.0,2.0,1.0,2.0,9,10
Wisconsin,5,2,901.0,414.0,1.0,2.0,1.0,0.0,9,10
Yale,5,3,337.0,414.0,0.0,0.0,0.0,0.0,8,10
