Team,Total Goals,First Minute,Pct First Minute,First 2 Minutes,Pct First 2 Minutes,Last Minute,EN Last Minute,Pct Last Minute,Last 2 Minutes,EN Last 2 Minutes,Pct Last 2 Minutes,HI_Back_to_Back,HI_Quick_Response,HI_Back_to_Back_2,HI_Quick_Response_2
Air Force,40,1,0.025,2,0.05,5,0,0.125,9,0,0.225,1,1,3,4
Alaska,41,0,0.0,2,0.04878048780487805,1,0,0.024390243902439025,3,0,0.07317073170731707,1,0,3,4
Alaska Anchorage,52,3,0.057692307692307696,4,0.07692307692307693,4,1,0.07692307692307693,10,3,0.19230769230769232,1,2,1,7
American Intl,51,0,0.0,4,0.0784313725490196,5,1,0.09803921568627451,5,1,0.09803921568627451,2,1,4,1
Arizona State,58,5,0.08620689655172414,6,0.10344827586206896,13,3,0.22413793103448276,16,4,0.27586206896551724,3,2,5,3
Army,35,0,0.0,1,0.02857142857142857,1,0,0.02857142857142857,4,1,0.11428571428571428,0,1,1,2
Augustana,58,1,0.017241379310344827,2,0.034482758620689655,4,4,0.06896551724137931,10,6,0.1724137931034483,2,0,7,0
Bemidji State,52,4,0.07692307692307693,6,0.11538461538461539,2,1,0.038461538461538464,3,1,0.057692307692307696,3,5,4,9
Bentley,60,3,0.05,7,0.11666666666666667,7,2,0.11666666666666667,16,5,0.26666666666666666,3,1,5,2
Boston College,52,2,0.038461538461538464,6,0.11538461538461539,7,3,0.1346153846153846,13,3,0.25,4,4,8,6
Boston University,61,1,0.01639344262295082,7,0.11475409836065574,5,0,0.08196721311475409,10,1,0.16393442622950818,3,4,6,6
Bowling Green,43,0,0.0,3,0.06976744186046512,2,1,0.046511627906976744,3,1,0.06976744186046512,1,1,1,3
Brown,26,1,0.038461538461538464,3,0.11538461538461539,3,2,0.11538461538461539,6,2,0.23076923076923078,1,1,1,2
Canisius,47,1,0.02127659574468085,4,0.0851063829787234,5,1,0.10638297872340426,6,1,0.1276595744680851,2,2,3,7
Clarkson,53,3,0.05660377358490566,3,0.05660377358490566,7,3,0.1320754716981132,13,6,0.24528301886792453,2,3,2,8
Colgate,57,2,0.03508771929824561,2,0.03508771929824561,5,1,0.08771929824561403,9,1,0.15789473684210525,1,3,4,6
Colorado College,49,4,0.08163265306122448,10,0.20408163265306123,4,1,0.08163265306122448,6,1,0.12244897959183673,0,0,2,1
Connecticut,57,4,0.07017543859649122,7,0.12280701754385964,6,2,0.10526315789473684,7,2,0.12280701754385964,3,3,9,6
Cornell,38,2,0.05263157894736842,6,0.15789473684210525,6,3,0.15789473684210525,8,4,0.21052631578947367,1,2,1,4
